year,month,day,description,count
2014,1,1,AGG. ASSAULT,22
2014,1,1,ASSAULT BY THREAT,2
2014,1,1,AUTO THEFT,13
2014,1,1,BURGLARY,20
2014,1,1,COMMON ASSAULT,20
2014,1,1,HOMICIDE,2
2014,1,1,LARCENY,32
2014,1,1,LARCENY FROM AUTO,13
2014,1,1,RAPE,2
2014,1,1,ROBBERY - COMMERCIAL,2
2014,1,1,ROBBERY - RESIDENCE,1
2014,1,1,ROBBERY - STREET,8
2014,1,1,SHOOTING,2
2014,1,2,AGG. ASSAULT,6
2014,1,2,ASSAULT BY THREAT,3
2014,1,2,AUTO THEFT,9
2014,1,2,BURGLARY,28
2014,1,2,COMMON ASSAULT,23
2014,1,2,HOMICIDE,3
2014,1,2,LARCENY,25
2014,1,2,LARCENY FROM AUTO,9
2014,1,2,RAPE,1
2014,1,2,ROBBERY - CARJACKING,1
2014,1,2,ROBBERY - COMMERCIAL,1
2014,1,2,ROBBERY - RESIDENCE,1
2014,1,2,ROBBERY - STREET,4
2014,1,3,AGG. ASSAULT,11
2014,1,3,AUTO THEFT,4
2014,1,3,BURGLARY,13
2014,1,3,COMMON ASSAULT,17
2014,1,3,HOMICIDE,1
2014,1,3,LARCENY,16
2014,1,3,LARCENY FROM AUTO,4
2014,1,3,ROBBERY - COMMERCIAL,1
2014,1,3,ROBBERY - RESIDENCE,1
2014,1,3,ROBBERY - STREET,2
2014,1,3,SHOOTING,1
2014,1,4,AGG. ASSAULT,14
2014,1,4,ASSAULT BY THREAT,4
2014,1,4,AUTO THEFT,14
2014,1,4,BURGLARY,20
2014,1,4,COMMON ASSAULT,23
2014,1,4,LARCENY,23
2014,1,4,LARCENY FROM AUTO,14
2014,1,4,ROBBERY - COMMERCIAL,1
2014,1,4,ROBBERY - RESIDENCE,1
2014,1,4,ROBBERY - STREET,7
2014,1,5,AGG. ASSAULT,9
2014,1,5,AUTO THEFT,12
2014,1,5,BURGLARY,14
2014,1,5,COMMON ASSAULT,22
2014,1,5,LARCENY,18
2014,1,5,LARCENY FROM AUTO,13
2014,1,5,ROBBERY - CARJACKING,2
2014,1,5,ROBBERY - RESIDENCE,1
2014,1,5,ROBBERY - STREET,10
2014,1,5,SHOOTING,2
2014,1,6,AGG. ASSAULT,3
2014,1,6,ARSON,2
2014,1,6,ASSAULT BY THREAT,2
2014,1,6,AUTO THEFT,5
2014,1,6,BURGLARY,26
2014,1,6,COMMON ASSAULT,23
2014,1,6,HOMICIDE,2
2014,1,6,LARCENY,35
2014,1,6,LARCENY FROM AUTO,11
2014,1,6,RAPE,2
2014,1,6,ROBBERY - RESIDENCE,1
