year,month,day,crime,count
2016.0,1.0,1,AGGRAVATED ASSAULT,4
2016.0,1.0,1,ANIMAL COMPLAINT,2
2016.0,1.0,1,BURGLARY,2
2016.0,1.0,1,CARE FOR SICK,1
2016.0,1.0,1,CRIMES AGAINST THE PUBLIC,2
2016.0,1.0,1,DRIVING LAWS,1
2016.0,1.0,1,DRUG OFFENSES,1
2016.0,1.0,1,FORGERY/COUNTERFEITING,1
2016.0,1.0,1,FOUND PERSON/PROPERTY,3
2016.0,1.0,1,HOMICIDE,1
2016.0,1.0,1,JUDICIAL OFFENSES,2
2016.0,1.0,1,LARCENY,9
2016.0,1.0,1,MENTAL CASE,1
2016.0,1.0,1,MISCCRIMES AGAINST PROPERTY,10
2016.0,1.0,1,MISCMANAGEMENT INFO.,5
2016.0,1.0,1,MISCWANTS,1
2016.0,1.0,1,MISSING PERSON/PROPERTY,9
2016.0,1.0,1,MOTOR VEHICLE LAWS,2
2016.0,1.0,1,NON-INVOLVED ACCIDENT,2
2016.0,1.0,1,OTHER ACCIDENT,1
2016.0,1.0,1,PERSONAL INJURY ACCIDENT,6
2016.0,1.0,1,PROPERTY DAMAGE ACCIDENT,13
2016.0,1.0,1,ROBBERY,3
2016.0,1.0,1,SHOTS FIRED,7
2016.0,1.0,1,SIMPLE ASSAULT,5
2016.0,1.0,1,SUICIDE,1
2016.0,1.0,2,AGGRAVATED ASSAULT,4
2016.0,1.0,2,ANIMAL COMPLAINT,5
2016.0,1.0,2,BURGLARY,5
2016.0,1.0,2,CRIMES AGAINST THE PUBLIC,6
2016.0,1.0,2,DRUG OFFENSES,3
2016.0,1.0,2,DRUNK DRIVING,1
2016.0,1.0,2,FOUND PERSON/PROPERTY,2
2016.0,1.0,2,FRAUD/EMBEZZLEMENT/EXTORTION,1
2016.0,1.0,2,LARCENY,8
2016.0,1.0,2,MISCCRIMES AGAINST PROPERTY,7
2016.0,1.0,2,MISCMANAGEMENT INFO.,4
2016.0,1.0,2,MISCWANTS,5
2016.0,1.0,2,MISSING PERSON/PROPERTY,6
2016.0,1.0,2,MOTOR VEHICLE LAWS,2
2016.0,1.0,2,MOTOR VEHICLE THEFT,2
2016.0,1.0,2,NON-INVOLVED ACCIDENT,1
2016.0,1.0,2,OTHER ACCIDENT,2
2016.0,1.0,2,PERSONAL INJURY ACCIDENT,5
2016.0,1.0,2,PROPERTY DAMAGE ACCIDENT,7
2016.0,1.0,2,RADIO SIGNAL,2
2016.0,1.0,2,ROBBERY,2
2016.0,1.0,2,SHOTS FIRED,1
2016.0,1.0,2,SIMPLE ASSAULT,1
2016.0,1.0,3,AGGRAVATED ASSAULT,3
2016.0,1.0,3,ANIMAL COMPLAINT,4
2016.0,1.0,3,CARE FOR SICK,2
2016.0,1.0,3,CRIMES AGAINST THE PUBLIC,14
2016.0,1.0,3,DRIVING LAWS,1
2016.0,1.0,3,FOUND PERSON/PROPERTY,1
2016.0,1.0,3,FRAUD/EMBEZZLEMENT/EXTORTION,1
2016.0,1.0,3,LARCENY,12
2016.0,1.0,3,MISCCRIMES AGAINST PROPERTY,3
2016.0,1.0,3,MISSING PERSON/PROPERTY,1
2016.0,1.0,3,MOTOR VEHICLE THEFT,1
2016.0,1.0,3,OTHER ACCIDENT,2
2016.0,1.0,3,PERSONAL INJURY ACCIDENT,1
2016.0,1.0,3,PROPERTY DAMAGE ACCIDENT,6
2016.0,1.0,3,RADIO SIGNAL,1
2016.0,1.0,3,REPORT-RELATED,2
2016.0,1.0,3,SIMPLE ASSAULT,6
2016.0,1.0,4,ANIMAL COMPLAINT,9
2016.0,1.0,4,BURGLARY,2
2016.0,1.0,4,CARE FOR SICK,2
2016.0,1.0,4,CRIMES AGAINST THE PUBLIC,7
2016.0,1.0,4,DRIVING LAWS,3
2016.0,1.0,4,FORGERY/COUNTERFEITING,1
2016.0,1.0,4,FOUND PERSON/PROPERTY,4
2016.0,1.0,4,JUDICIAL OFFENSES,3
2016.0,1.0,4,LARCENY,6
2016.0,1.0,4,MENTAL CASE,1
2016.0,1.0,4,MISCCRIMES AGAINST PROPERTY,4
2016.0,1.0,4,MISCMANAGEMENT INFO.,3
2016.0,1.0,4,MISCWANTS,1
2016.0,1.0,4,MISSING PERSON/PROPERTY,1
2016.0,1.0,4,MOTOR VEHICLE LAWS,3
2016.0,1.0,4,MOTOR VEHICLE THEFT,1
2016.0,1.0,4,NON-INVOLVED ACCIDENT,2
2016.0,1.0,4,PERSONAL INJURY ACCIDENT,5
2016.0,1.0,4,PROPERTY DAMAGE ACCIDENT,10
2016.0,1.0,4,PUBLIC DRUNKENNESS,1
2016.0,1.0,4,RADIO SIGNAL,2
2016.0,1.0,4,REPORT-RELATED,1
2016.0,1.0,4,ROBBERY,1
2016.0,1.0,4,SHOTS FIRED,3
2016.0,1.0,4,SIMPLE ASSAULT,4
