year,month,day,category,count
2005,1,1,AGGRAVATED ASSAULT,41
2005,1,1,ARSON,3
2005,1,1,BURGLARY,50
2005,1,1,CRIMINAL HOMICIDE,2
2005,1,1,DISORDERLY CONDUCT,7
2005,1,1,DRUNK / ALCOHOL / DRUGS,10
2005,1,1,DRUNK DRIVING VEHICLE / BOAT,9
2005,1,1,FEDERAL OFFENSES W/O MONEY,2
2005,1,1,FELONIES MISCELLANEOUS,10
2005,1,1,FORCIBLE RAPE,8
2005,1,1,FORGERY,6
2005,1,1,FRAUD AND NSF CHECKS,80
2005,1,1,GRAND THEFT AUTO,51
2005,1,1,LARCENY THEFT,80
2005,1,1,LIQUOR LAWS,2
2005,1,1,MISDEMEANORS MISCELLANEOUS,8
2005,1,1,NARCOTICS,27
2005,1,1,NON-AGGRAVATED ASSAULTS,52
2005,1,1,OFFENSES AGAINST FAMILY,6
2005,1,1,RECEIVING STOLEN PROPERTY,2
2005,1,1,ROBBERY,7
2005,1,1,SEX OFFENSES FELONIES,36
2005,1,1,SEX OFFENSES MISDEMEANORS,1
2005,1,1,VAGRANCY,1
2005,1,1,VANDALISM,38
2005,1,1,VEHICLE / BOATING LAWS,46
2005,1,1,WEAPON LAWS,13
2005,1,2,AGGRAVATED ASSAULT,25
2005,1,2,ARSON,5
2005,1,2,BURGLARY,41
2005,1,2,DISORDERLY CONDUCT,4
2005,1,2,DRUNK / ALCOHOL / DRUGS,6
2005,1,2,DRUNK DRIVING VEHICLE / BOAT,2
2005,1,2,FEDERAL OFFENSES WITH MONEY,1
2005,1,2,FELONIES MISCELLANEOUS,6
2005,1,2,FORCIBLE RAPE,1
2005,1,2,FORGERY,5
2005,1,2,FRAUD AND NSF CHECKS,14
2005,1,2,GRAND THEFT AUTO,60
2005,1,2,LARCENY THEFT,92
2005,1,2,LIQUOR LAWS,3
2005,1,2,MISDEMEANORS MISCELLANEOUS,9
2005,1,2,NARCOTICS,28
2005,1,2,NON-AGGRAVATED ASSAULTS,37
2005,1,2,OFFENSES AGAINST FAMILY,3
2005,1,2,RECEIVING STOLEN PROPERTY,1
2005,1,2,ROBBERY,6
2005,1,2,SEX OFFENSES FELONIES,6
2005,1,2,SEX OFFENSES MISDEMEANORS,1
2005,1,2,VANDALISM,32
2005,1,2,VEHICLE / BOATING LAWS,39
2005,1,2,WEAPON LAWS,4
2005,1,3,AGGRAVATED ASSAULT,14
2005,1,3,ARSON,3
2005,1,3,BURGLARY,39
2005,1,3,CRIMINAL HOMICIDE,1
2005,1,3,DISORDERLY CONDUCT,5
2005,1,3,DRUNK / ALCOHOL / DRUGS,6
2005,1,3,DRUNK DRIVING VEHICLE / BOAT,3
2005,1,3,FELONIES MISCELLANEOUS,6
2005,1,3,FORCIBLE RAPE,1
2005,1,3,FORGERY,11
2005,1,3,FRAUD AND NSF CHECKS,21
2005,1,3,GRAND THEFT AUTO,41
2005,1,3,LARCENY THEFT,113
2005,1,3,LIQUOR LAWS,2
2005,1,3,MISDEMEANORS MISCELLANEOUS,6
2005,1,3,NARCOTICS,36
2005,1,3,NON-AGGRAVATED ASSAULTS,32
2005,1,3,OFFENSES AGAINST FAMILY,2
2005,1,3,RECEIVING STOLEN PROPERTY,1
2005,1,3,ROBBERY,22
2005,1,3,SEX OFFENSES FELONIES,5
2005,1,3,SEX OFFENSES MISDEMEANORS,1
2005,1,3,VANDALISM,33
2005,1,3,VEHICLE / BOATING LAWS,57
2005,1,3,WARRANTS,11
2005,1,3,WEAPON LAWS,8
