year,month,day,ofns_desc,count
2016,1,1,ADMINISTRATIVE CODE,1
2016,1,1,ASSAULT 3 & RELATED OFFENSES,30
2016,1,1,BURGLARY,5
2016,1,1,CRIMINAL MISCHIEF & RELATED OF,74
2016,1,1,DANGEROUS DRUGS,5
2016,1,1,DANGEROUS WEAPONS,9
2016,1,1,FELONY ASSAULT,19
2016,1,1,FORGERY,3
2016,1,1,FRAUDS,2
2016,1,1,GRAND LARCENY,16
2016,1,1,GRAND LARCENY OF MOTOR VEHICLE,2
2016,1,1,HARRASSMENT 2,26
2016,1,1,INTOXICATED & IMPAIRED DRIVING,6
2016,1,1,MISCELLANEOUS PENAL LAW,2
2016,1,1,OFF. AGNST PUB ORD SENSBLTY &,10
2016,1,1,OFFENSES AGAINST PUBLIC ADMINI,3
2016,1,1,OTHER OFFENSES RELATED TO THEF,2
2016,1,1,PETIT LARCENY,23
2016,1,1,RAPE,16
2016,1,1,ROBBERY,11
2016,1,1,SEX CRIMES,53
2016,1,1,THEFT-FRAUD,4
2016,1,1,UNAUTHORIZED USE OF A VEHICLE,2
2016,1,1,VEHICLE AND TRAFFIC LAWS,1
2016,1,2,ARSON,1
2016,1,2,ASSAULT 3 & RELATED OFFENSES,19
2016,1,2,BURGLARY,5
2016,1,2,CRIMINAL MISCHIEF & RELATED OF,12
2016,1,2,CRIMINAL TRESPASS,1
2016,1,2,DANGEROUS DRUGS,10
2016,1,2,DANGEROUS WEAPONS,3
2016,1,2,FELONY ASSAULT,10
2016,1,2,FORGERY,3
2016,1,2,FRAUDS,2
2016,1,2,GRAND LARCENY,13
2016,1,2,GRAND LARCENY OF MOTOR VEHICLE,2
2016,1,2,HARRASSMENT 2,15
2016,1,2,INTOXICATED & IMPAIRED DRIVING,3
2016,1,2,MISCELLANEOUS PENAL LAW,9
2016,1,2,OFF. AGNST PUB ORD SENSBLTY &,4
2016,1,2,OFFENSES AGAINST PUBLIC ADMINI,2
2016,1,2,OTHER OFFENSES RELATED TO THEF,2
2016,1,2,PETIT LARCENY,19
2016,1,2,POSSESSION OF STOLEN PROPERTY,1
2016,1,2,RAPE,2
2016,1,2,ROBBERY,4
2016,1,2,SEX CRIMES,11
2016,1,2,THEFT-FRAUD,1
2016,1,2,UNAUTHORIZED USE OF A VEHICLE,2
2016,1,2,VEHICLE AND TRAFFIC LAWS,1
2016,1,3,ASSAULT 3 & RELATED OFFENSES,16
2016,1,3,BURGLARY,3
2016,1,3,CRIMINAL MISCHIEF & RELATED OF,17
2016,1,3,CRIMINAL TRESPASS,1
2016,1,3,DANGEROUS DRUGS,2
2016,1,3,DANGEROUS WEAPONS,4
2016,1,3,FELONY ASSAULT,13
2016,1,3,FORGERY,1
2016,1,3,FRAUDS,1
2016,1,3,GRAND LARCENY,9
2016,1,3,GRAND LARCENY OF MOTOR VEHICLE,1
2016,1,3,HARRASSMENT 2,25
2016,1,3,INTOXICATED & IMPAIRED DRIVING,1
2016,1,3,MISCELLANEOUS PENAL LAW,7
2016,1,3,OFF. AGNST PUB ORD SENSBLTY &,9
2016,1,3,OFFENSES AGAINST PUBLIC ADMINI,3
2016,1,3,OFFENSES AGAINST THE PERSON,2
2016,1,3,OTHER OFFENSES RELATED TO THEF,2
2016,1,3,PETIT LARCENY,18
2016,1,3,RAPE,2
2016,1,3,ROBBERY,6
2016,1,3,SEX CRIMES,8
2016,1,3,THEFT-FRAUD,1
2016,1,4,ASSAULT 3 & RELATED OFFENSES,20
2016,1,4,BURGLARY,3
2016,1,4,CRIMINAL MISCHIEF & RELATED OF,8
2016,1,4,DANGEROUS DRUGS,5
2016,1,4,FELONY ASSAULT,11
2016,1,4,FORGERY,1
2016,1,4,GRAND LARCENY,17
2016,1,4,GRAND LARCENY OF MOTOR VEHICLE,2
2016,1,4,HARRASSMENT 2,13
2016,1,4,MISCELLANEOUS PENAL LAW,3
2016,1,4,OFF. AGNST PUB ORD SENSBLTY &,4
2016,1,4,OTHER OFFENSES RELATED TO THEF,1
2016,1,4,PETIT LARCENY,25
2016,1,4,RAPE,1
2016,1,4,ROBBERY,4
2016,1,4,SEX CRIMES,8
2016,1,4,THEFT-FRAUD,1
2016,1,4,UNAUTHORIZED USE OF A VEHICLE,1
2016,1,4,VEHICLE AND TRAFFIC LAWS,2
2016,1,5,ADMINISTRATIVE CODE,1
2016,1,5,ASSAULT 3 & RELATED OFFENSES,11
2016,1,5,BURGLARY,7
2016,1,5,CRIMINAL MISCHIEF & RELATED OF,11
2016,1,5,CRIMINAL TRESPASS,1
2016,1,5,DANGEROUS DRUGS,9
2016,1,5,DANGEROUS WEAPONS,1
2016,1,5,FELONY ASSAULT,2
2016,1,5,FORGERY,2
2016,1,5,GRAND LARCENY,10
2016,1,5,GRAND LARCENY OF MOTOR VEHICLE,2
2016,1,5,HARRASSMENT 2,19
2016,1,5,MISCELLANEOUS PENAL LAW,6
2016,1,5,OFF. AGNST PUB ORD SENSBLTY &,5
2016,1,5,OFFENSES AGAINST PUBLIC ADMINI,4
2016,1,5,PETIT LARCENY,31
2016,1,5,RAPE,1
2016,1,5,ROBBERY,7
2016,1,5,SEX CRIMES,9
2016,1,5,THEFT-FRAUD,2
2016,1,5,VEHICLE AND TRAFFIC LAWS,3
2016,1,6,ASSAULT 3 & RELATED OFFENSES,14
2016,1,6,BURGLARY,7
2016,1,6,CRIMINAL MISCHIEF & RELATED OF,12
2016,1,6,CRIMINAL TRESPASS,1
2016,1,6,DANGEROUS DRUGS,2
2016,1,6,DANGEROUS WEAPONS,3
2016,1,6,FELONY ASSAULT,7
2016,1,6,FORGERY,3
2016,1,6,FRAUDS,3
2016,1,6,GRAND LARCENY,17
2016,1,6,GRAND LARCENY OF MOTOR VEHICLE,3
2016,1,6,HARRASSMENT 2,28
2016,1,6,INTOXICATED & IMPAIRED DRIVING,1
2016,1,6,MISCELLANEOUS PENAL LAW,5
2016,1,6,OFF. AGNST PUB ORD SENSBLTY &,9
2016,1,6,OFFENSES AGAINST PUBLIC ADMINI,9
2016,1,6,OFFENSES AGAINST THE PERSON,1
2016,1,6,PETIT LARCENY,29
2016,1,6,RAPE,3
2016,1,6,ROBBERY,4
2016,1,6,SEX CRIMES,12
2016,1,6,THEFT OF SERVICES,1
2016,1,6,UNAUTHORIZED USE OF A VEHICLE,1
2016,1,6,VEHICLE AND TRAFFIC LAWS,3
2016,1,7,ARSON,1
2016,1,7,ASSAULT 3 & RELATED OFFENSES,17
2016,1,7,BURGLARY,4
2016,1,7,CRIMINAL MISCHIEF & RELATED OF,9
2016,1,7,CRIMINAL TRESPASS,1
2016,1,7,DANGEROUS DRUGS,11
2016,1,7,DANGEROUS WEAPONS,3
2016,1,7,FELONY ASSAULT,5
2016,1,7,FORGERY,1
2016,1,7,GRAND LARCENY,13
2016,1,7,HARRASSMENT 2,20
2016,1,7,INTOXICATED & IMPAIRED DRIVING,1
2016,1,7,MISCELLANEOUS PENAL LAW,3
2016,1,7,OFF. AGNST PUB ORD SENSBLTY &,9
2016,1,7,OFFENSES AGAINST PUBLIC ADMINI,3
2016,1,7,OFFENSES INVOLVING FRAUD,1
2016,1,7,PETIT LARCENY,26
2016,1,7,POSSESSION OF STOLEN PROPERTY,1
2016,1,7,RAPE,4
2016,1,7,ROBBERY,5
2016,1,7,SEX CRIMES,10
2016,1,7,THEFT OF SERVICES,1
2016,1,7,UNAUTHORIZED USE OF A VEHICLE,2
2016,1,8,ARSON,1
2016,1,8,ASSAULT 3 & RELATED OFFENSES,20
2016,1,8,BURGLARY,5
2016,1,8,CRIMINAL MISCHIEF & RELATED OF,15
2016,1,8,CRIMINAL TRESPASS,5
2016,1,8,DANGEROUS DRUGS,5
2016,1,8,DANGEROUS WEAPONS,5
2016,1,8,FELONY ASSAULT,9
2016,1,8,FORGERY,2
2016,1,8,FRAUDS,2
2016,1,8,GRAND LARCENY,13
2016,1,8,GRAND LARCENY OF MOTOR VEHICLE,2
2016,1,8,HARRASSMENT 2,17
2016,1,8,INTOXICATED & IMPAIRED DRIVING,2
2016,1,8,MISCELLANEOUS PENAL LAW,5
2016,1,8,OFF. AGNST PUB ORD SENSBLTY &,7
2016,1,8,OFFENSES AGAINST PUBLIC ADMINI,3
2016,1,8,OFFENSES AGAINST THE PERSON,1
2016,1,8,OFFENSES INVOLVING FRAUD,1
2016,1,8,OTHER OFFENSES RELATED TO THEF,1
2016,1,8,PETIT LARCENY,34
2016,1,8,POSSESSION OF STOLEN PROPERTY,1
2016,1,8,RAPE,3
2016,1,8,ROBBERY,2
2016,1,8,SEX CRIMES,13
2016,1,8,VEHICLE AND TRAFFIC LAWS,2
2016,1,9,ARSON,1
2016,1,9,ASSAULT 3 & RELATED OFFENSES,15
2016,1,9,BURGLARY,8
2016,1,9,CRIMINAL MISCHIEF & RELATED OF,22
2016,1,9,DANGEROUS DRUGS,10
2016,1,9,DANGEROUS WEAPONS,6
2016,1,9,FELONY ASSAULT,11
2016,1,9,FORGERY,1
2016,1,9,FRAUDS,2
2016,1,9,FRAUDULENT ACCOSTING,1
2016,1,9,GAMBLING,1
2016,1,9,GRAND LARCENY,13
2016,1,9,HARRASSMENT 2,18
2016,1,9,INTOXICATED & IMPAIRED DRIVING,6
2016,1,9,MISCELLANEOUS PENAL LAW,11
2016,1,9,MURDER & NON-NEGL. MANSLAUGHTER,1
2016,1,9,OFF. AGNST PUB ORD SENSBLTY &,5
2016,1,9,OFFENSES AGAINST PUBLIC ADMINI,2
2016,1,9,OFFENSES AGAINST THE PERSON,1
2016,1,9,OTHER OFFENSES RELATED TO THEF,1
2016,1,9,PETIT LARCENY,27
2016,1,9,POSSESSION OF STOLEN PROPERTY,1
2016,1,9,RAPE,2
2016,1,9,ROBBERY,10
2016,1,9,SEX CRIMES,6
2016,1,9,THEFT-FRAUD,2
2016,1,9,VEHICLE AND TRAFFIC LAWS,4
2016,1,10,ADMINISTRATIVE CODE,1
2016,1,10,ASSAULT 3 & RELATED OFFENSES,18
2016,1,10,BURGLARY,1
2016,1,10,CRIMINAL MISCHIEF & RELATED OF,17
2016,1,10,CRIMINAL TRESPASS,1
2016,1,10,DANGEROUS DRUGS,4
2016,1,10,DANGEROUS WEAPONS,4
2016,1,10,FELONY ASSAULT,6
2016,1,10,GRAND LARCENY,9
2016,1,10,GRAND LARCENY OF MOTOR VEHICLE,3
2016,1,10,HARRASSMENT 2,25
2016,1,10,INTOXICATED & IMPAIRED DRIVING,5
2016,1,10,MISCELLANEOUS PENAL LAW,3
2016,1,10,MURDER & NON-NEGL. MANSLAUGHTER,1
2016,1,10,OFF. AGNST PUB ORD SENSBLTY &,5
2016,1,10,OFFENSES AGAINST PUBLIC ADMINI,4
2016,1,10,OFFENSES AGAINST PUBLIC SAFETY,1
2016,1,10,OTHER OFFENSES RELATED TO THEF,1
2016,1,10,PETIT LARCENY,26
2016,1,10,POSSESSION OF STOLEN PROPERTY,1
2016,1,10,RAPE,2
