year,month,day,OFFENSE,count
2008,1,1,ASSAULT W/DANGEROUS WEAPON,11
2008,1,1,BURGLARY,7
2008,1,1,MOTOR VEHICLE THEFT,14
2008,1,1,ROBBERY,15
2008,1,1,THEFT/OTHER,28
2008,1,2,ASSAULT W/DANGEROUS WEAPON,8
2008,1,2,BURGLARY,13
2008,1,2,HOMICIDE,1
2008,1,2,MOTOR VEHICLE THEFT,15
2008,1,2,ROBBERY,10
2008,1,2,THEFT/OTHER,23
2008,1,3,ASSAULT W/DANGEROUS WEAPON,2
2008,1,3,BURGLARY,12
2008,1,3,MOTOR VEHICLE THEFT,10
2008,1,3,ROBBERY,9
2008,1,3,THEFT/OTHER,29
2008,1,4,ASSAULT W/DANGEROUS WEAPON,6
2008,1,4,BURGLARY,6
2008,1,4,MOTOR VEHICLE THEFT,13
2008,1,4,ROBBERY,5
2008,1,4,THEFT/OTHER,51
2008,1,5,ASSAULT W/DANGEROUS WEAPON,7
2008,1,5,BURGLARY,6
2008,1,5,HOMICIDE,1
2008,1,5,MOTOR VEHICLE THEFT,9
2008,1,5,ROBBERY,8
2008,1,5,THEFT/OTHER,34
2008,1,6,ARSON,1
2008,1,6,ASSAULT W/DANGEROUS WEAPON,8
2008,1,6,BURGLARY,7
2008,1,6,MOTOR VEHICLE THEFT,13
2008,1,6,ROBBERY,10
2008,1,6,THEFT/OTHER,33
2008,1,7,ASSAULT W/DANGEROUS WEAPON,5
2008,1,7,BURGLARY,11
2008,1,7,MOTOR VEHICLE THEFT,15
2008,1,7,ROBBERY,7
2008,1,7,THEFT/OTHER,45
2008,1,8,ARSON,1
2008,1,8,ASSAULT W/DANGEROUS WEAPON,14
2008,1,8,BURGLARY,20
2008,1,8,MOTOR VEHICLE THEFT,14
2008,1,8,ROBBERY,9
2008,1,8,THEFT/OTHER,44
2008,1,9,ASSAULT W/DANGEROUS WEAPON,5
2008,1,9,BURGLARY,13
2008,1,9,HOMICIDE,4
2008,1,9,MOTOR VEHICLE THEFT,12
2008,1,9,ROBBERY,6
2008,1,9,SEX ABUSE,1
2008,1,9,THEFT/OTHER,47
2008,1,10,ASSAULT W/DANGEROUS WEAPON,2
2008,1,10,BURGLARY,8
2008,1,10,HOMICIDE,2
2008,1,10,MOTOR VEHICLE THEFT,15
2008,1,10,ROBBERY,5
2008,1,10,THEFT/OTHER,40
2008,1,11,ASSAULT W/DANGEROUS WEAPON,7
2008,1,11,BURGLARY,12
2008,1,11,MOTOR VEHICLE THEFT,5
2008,1,11,ROBBERY,12
2008,1,11,THEFT/OTHER,41
2008,1,12,ARSON,1
2008,1,12,ASSAULT W/DANGEROUS WEAPON,4
2008,1,12,BURGLARY,12
2008,1,12,MOTOR VEHICLE THEFT,9
2008,1,12,ROBBERY,10
2008,1,12,THEFT/OTHER,34
2008,1,13,ASSAULT W/DANGEROUS WEAPON,7
2008,1,13,BURGLARY,2
2008,1,13,HOMICIDE,1
2008,1,13,MOTOR VEHICLE THEFT,10
2008,1,13,ROBBERY,13
2008,1,13,SEX ABUSE,1
2008,1,13,THEFT/OTHER,40
2008,1,14,ASSAULT W/DANGEROUS WEAPON,6
2008,1,14,BURGLARY,9
2008,1,14,MOTOR VEHICLE THEFT,12
2008,1,14,ROBBERY,15
2008,1,14,THEFT/OTHER,42
2008,1,15,ASSAULT W/DANGEROUS WEAPON,2
2008,1,15,BURGLARY,19
2008,1,15,MOTOR VEHICLE THEFT,16
2008,1,15,ROBBERY,10
2008,1,15,THEFT/OTHER,34
2008,1,16,ASSAULT W/DANGEROUS WEAPON,3
2008,1,16,BURGLARY,8
2008,1,16,MOTOR VEHICLE THEFT,8
2008,1,16,ROBBERY,6
2008,1,16,SEX ABUSE,1
2008,1,16,THEFT/OTHER,46
2008,1,17,ASSAULT W/DANGEROUS WEAPON,6
2008,1,17,BURGLARY,9
2008,1,17,MOTOR VEHICLE THEFT,12
2008,1,17,ROBBERY,15
2008,1,17,THEFT/OTHER,40
2008,1,18,ASSAULT W/DANGEROUS WEAPON,8
2008,1,18,BURGLARY,10
2008,1,18,HOMICIDE,2
2008,1,18,MOTOR VEHICLE THEFT,13
2008,1,18,ROBBERY,20
2008,1,18,SEX ABUSE,1
2008,1,18,THEFT/OTHER,48
2008,1,19,ASSAULT W/DANGEROUS WEAPON,12
2008,1,19,BURGLARY,8
2008,1,19,MOTOR VEHICLE THEFT,17
2008,1,19,ROBBERY,17
2008,1,19,THEFT/OTHER,38
2008,1,20,ASSAULT W/DANGEROUS WEAPON,4
2008,1,20,BURGLARY,3
2008,1,20,MOTOR VEHICLE THEFT,13
2008,1,20,ROBBERY,11
2008,1,20,THEFT/OTHER,44
2008,1,21,ASSAULT W/DANGEROUS WEAPON,6
2008,1,21,BURGLARY,8
2008,1,21,MOTOR VEHICLE THEFT,22
2008,1,21,ROBBERY,14
2008,1,21,THEFT/OTHER,41
2008,1,22,ASSAULT W/DANGEROUS WEAPON,6
2008,1,22,BURGLARY,11
2008,1,22,MOTOR VEHICLE THEFT,10
2008,1,22,ROBBERY,13
2008,1,22,SEX ABUSE,1
2008,1,22,THEFT/OTHER,52
2008,1,23,ASSAULT W/DANGEROUS WEAPON,5
2008,1,23,BURGLARY,12
2008,1,23,MOTOR VEHICLE THEFT,19
2008,1,23,ROBBERY,11
2008,1,23,THEFT/OTHER,62
2008,1,24,ARSON,1
2008,1,24,ASSAULT W/DANGEROUS WEAPON,3
2008,1,24,BURGLARY,9
2008,1,24,MOTOR VEHICLE THEFT,14
2008,1,24,ROBBERY,13
2008,1,24,SEX ABUSE,1
2008,1,24,THEFT/OTHER,58
2008,1,25,ASSAULT W/DANGEROUS WEAPON,6
2008,1,25,BURGLARY,14
2008,1,25,MOTOR VEHICLE THEFT,15
2008,1,25,ROBBERY,14
2008,1,25,SEX ABUSE,2
2008,1,25,THEFT/OTHER,45
2008,1,26,ASSAULT W/DANGEROUS WEAPON,8
2008,1,26,BURGLARY,7
2008,1,26,MOTOR VEHICLE THEFT,15
2008,1,26,ROBBERY,12
2008,1,26,THEFT/OTHER,53
2008,1,27,ASSAULT W/DANGEROUS WEAPON,14
2008,1,27,BURGLARY,8
2008,1,27,HOMICIDE,1
2008,1,27,MOTOR VEHICLE THEFT,18
2008,1,27,ROBBERY,12
2008,1,27,THEFT/OTHER,44
2008,1,28,ASSAULT W/DANGEROUS WEAPON,11
2008,1,28,BURGLARY,18
2008,1,28,MOTOR VEHICLE THEFT,14
2008,1,28,ROBBERY,15
2008,1,28,THEFT/OTHER,57
2008,1,29,ARSON,1
2008,1,29,ASSAULT W/DANGEROUS WEAPON,7
2008,1,29,BURGLARY,18
2008,1,29,MOTOR VEHICLE THEFT,8
2008,1,29,ROBBERY,12
2008,1,29,THEFT/OTHER,59
2008,1,30,ASSAULT W/DANGEROUS WEAPON,8
2008,1,30,BURGLARY,9
2008,1,30,MOTOR VEHICLE THEFT,7
2008,1,30,ROBBERY,10
2008,1,30,THEFT/OTHER,53
2008,1,31,ASSAULT W/DANGEROUS WEAPON,7
2008,1,31,BURGLARY,9
2008,1,31,MOTOR VEHICLE THEFT,15
2008,1,31,ROBBERY,8
2008,1,31,THEFT/OTHER,43
2008,2,1,ASSAULT W/DANGEROUS WEAPON,2
2008,2,1,BURGLARY,11
2008,2,1,HOMICIDE,1
2008,2,1,MOTOR VEHICLE THEFT,9
2008,2,1,ROBBERY,3
2008,2,1,SEX ABUSE,1
2008,2,1,THEFT/OTHER,44
2008,2,2,ASSAULT W/DANGEROUS WEAPON,9
2008,2,2,BURGLARY,8
2008,2,2,MOTOR VEHICLE THEFT,12
2008,2,2,ROBBERY,6
2008,2,2,THEFT/OTHER,47
2008,2,3,ASSAULT W/DANGEROUS WEAPON,10
2008,2,3,BURGLARY,7
2008,2,3,MOTOR VEHICLE THEFT,14
2008,2,3,ROBBERY,10
2008,2,3,THEFT/OTHER,43
2008,2,4,ARSON,1
2008,2,4,ASSAULT W/DANGEROUS WEAPON,3
2008,2,4,BURGLARY,11
2008,2,4,MOTOR VEHICLE THEFT,13
2008,2,4,ROBBERY,7
2008,2,4,SEX ABUSE,1
2008,2,4,THEFT/OTHER,52
2008,2,5,ASSAULT W/DANGEROUS WEAPON,5
2008,2,5,BURGLARY,7
2008,2,5,MOTOR VEHICLE THEFT,8
2008,2,5,ROBBERY,9
2008,2,5,THEFT/OTHER,44
