year,month,day,OFFENSE,count
2016,1,1,ASSAULT W/DANGEROUS WEAPON,7
2016,1,1,BURGLARY,1
2016,1,1,MOTOR VEHICLE THEFT,7
2016,1,1,ROBBERY,14
2016,1,1,SEX ABUSE,6
2016,1,1,THEFT F/AUTO,33
2016,1,1,THEFT/OTHER,22
2016,1,2,ASSAULT W/DANGEROUS WEAPON,6
2016,1,2,BURGLARY,9
2016,1,2,MOTOR VEHICLE THEFT,2
2016,1,2,ROBBERY,10
2016,1,2,THEFT F/AUTO,27
2016,1,2,THEFT/OTHER,29
2016,1,3,ASSAULT W/DANGEROUS WEAPON,6
2016,1,3,BURGLARY,5
2016,1,3,MOTOR VEHICLE THEFT,3
2016,1,3,ROBBERY,9
2016,1,3,SEX ABUSE,1
2016,1,3,THEFT F/AUTO,41
2016,1,3,THEFT/OTHER,31
2016,1,4,ASSAULT W/DANGEROUS WEAPON,8
2016,1,4,BURGLARY,9
2016,1,4,MOTOR VEHICLE THEFT,9
2016,1,4,ROBBERY,11
2016,1,4,SEX ABUSE,3
2016,1,4,THEFT F/AUTO,32
2016,1,4,THEFT/OTHER,26
2016,1,5,ASSAULT W/DANGEROUS WEAPON,1
2016,1,5,BURGLARY,6
2016,1,5,MOTOR VEHICLE THEFT,6
2016,1,5,ROBBERY,12
2016,1,5,SEX ABUSE,2
2016,1,5,THEFT F/AUTO,27
2016,1,5,THEFT/OTHER,40
2016,1,6,ARSON,1
2016,1,6,ASSAULT W/DANGEROUS WEAPON,4
2016,1,6,BURGLARY,5
2016,1,6,MOTOR VEHICLE THEFT,7
2016,1,6,ROBBERY,10
2016,1,6,SEX ABUSE,1
2016,1,6,THEFT F/AUTO,23
2016,1,6,THEFT/OTHER,43
2016,1,7,ASSAULT W/DANGEROUS WEAPON,4
2016,1,7,BURGLARY,5
2016,1,7,MOTOR VEHICLE THEFT,10
2016,1,7,ROBBERY,12
2016,1,7,SEX ABUSE,1
2016,1,7,THEFT F/AUTO,25
2016,1,7,THEFT/OTHER,26
2016,1,8,ASSAULT W/DANGEROUS WEAPON,8
2016,1,8,BURGLARY,4
2016,1,8,HOMICIDE,1
2016,1,8,MOTOR VEHICLE THEFT,3
2016,1,8,ROBBERY,9
2016,1,8,THEFT F/AUTO,30
2016,1,8,THEFT/OTHER,44
2016,1,9,ASSAULT W/DANGEROUS WEAPON,6
2016,1,9,BURGLARY,8
2016,1,9,HOMICIDE,1
2016,1,9,MOTOR VEHICLE THEFT,3
2016,1,9,ROBBERY,8
2016,1,9,SEX ABUSE,1
2016,1,9,THEFT F/AUTO,30
2016,1,9,THEFT/OTHER,34
2016,1,10,ASSAULT W/DANGEROUS WEAPON,4
2016,1,10,BURGLARY,2
2016,1,10,HOMICIDE,1
2016,1,10,MOTOR VEHICLE THEFT,6
2016,1,10,ROBBERY,11
2016,1,10,SEX ABUSE,1
2016,1,10,THEFT F/AUTO,19
2016,1,10,THEFT/OTHER,29
2016,1,11,ASSAULT W/DANGEROUS WEAPON,7
2016,1,11,BURGLARY,6
2016,1,11,MOTOR VEHICLE THEFT,5
2016,1,11,ROBBERY,12
2016,1,11,THEFT F/AUTO,23
2016,1,11,THEFT/OTHER,70
2016,1,12,ASSAULT W/DANGEROUS WEAPON,6
2016,1,12,BURGLARY,5
2016,1,12,MOTOR VEHICLE THEFT,11
2016,1,12,ROBBERY,15
2016,1,12,SEX ABUSE,2
2016,1,12,THEFT F/AUTO,18
2016,1,12,THEFT/OTHER,26
2016,1,13,ASSAULT W/DANGEROUS WEAPON,7
2016,1,13,BURGLARY,5
2016,1,13,MOTOR VEHICLE THEFT,6
2016,1,13,ROBBERY,12
2016,1,13,SEX ABUSE,1
2016,1,13,THEFT F/AUTO,28
2016,1,13,THEFT/OTHER,35
2016,1,14,ASSAULT W/DANGEROUS WEAPON,3
2016,1,14,BURGLARY,4
2016,1,14,MOTOR VEHICLE THEFT,10
2016,1,14,ROBBERY,14
2016,1,14,THEFT F/AUTO,24
2016,1,14,THEFT/OTHER,42
2016,1,15,ASSAULT W/DANGEROUS WEAPON,7
2016,1,15,BURGLARY,7
2016,1,15,MOTOR VEHICLE THEFT,3
2016,1,15,ROBBERY,11
2016,1,15,SEX ABUSE,1
2016,1,15,THEFT F/AUTO,33
2016,1,15,THEFT/OTHER,42
2016,1,16,ASSAULT W/DANGEROUS WEAPON,7
2016,1,16,BURGLARY,9
2016,1,16,MOTOR VEHICLE THEFT,7
2016,1,16,ROBBERY,7
2016,1,16,SEX ABUSE,1
2016,1,16,THEFT F/AUTO,31
2016,1,16,THEFT/OTHER,39
2016,1,17,ASSAULT W/DANGEROUS WEAPON,8
2016,1,17,MOTOR VEHICLE THEFT,3
2016,1,17,ROBBERY,14
2016,1,17,SEX ABUSE,1
2016,1,17,THEFT F/AUTO,26
2016,1,17,THEFT/OTHER,24
2016,1,18,ASSAULT W/DANGEROUS WEAPON,6
2016,1,18,BURGLARY,4
2016,1,18,MOTOR VEHICLE THEFT,9
2016,1,18,ROBBERY,7
2016,1,18,SEX ABUSE,1
2016,1,18,THEFT F/AUTO,21
2016,1,18,THEFT/OTHER,32
2016,1,19,ASSAULT W/DANGEROUS WEAPON,7
2016,1,19,BURGLARY,11
2016,1,19,MOTOR VEHICLE THEFT,5
2016,1,19,ROBBERY,10
2016,1,19,THEFT F/AUTO,21
2016,1,19,THEFT/OTHER,33
2016,1,20,ASSAULT W/DANGEROUS WEAPON,2
2016,1,20,BURGLARY,4
2016,1,20,HOMICIDE,1
2016,1,20,MOTOR VEHICLE THEFT,4
2016,1,20,ROBBERY,8
2016,1,20,SEX ABUSE,1
2016,1,20,THEFT F/AUTO,16
2016,1,20,THEFT/OTHER,35
2016,1,21,ASSAULT W/DANGEROUS WEAPON,5
2016,1,21,BURGLARY,7
2016,1,21,MOTOR VEHICLE THEFT,2
2016,1,21,ROBBERY,8
2016,1,21,SEX ABUSE,1
2016,1,21,THEFT F/AUTO,28
2016,1,21,THEFT/OTHER,33
2016,1,22,ASSAULT W/DANGEROUS WEAPON,6
2016,1,22,BURGLARY,4
2016,1,22,HOMICIDE,1
2016,1,22,MOTOR VEHICLE THEFT,6
2016,1,22,ROBBERY,4
2016,1,22,SEX ABUSE,1
2016,1,22,THEFT F/AUTO,7
2016,1,22,THEFT/OTHER,20
2016,1,23,ASSAULT W/DANGEROUS WEAPON,4
2016,1,23,BURGLARY,2
2016,1,23,HOMICIDE,1
2016,1,23,ROBBERY,3
2016,1,23,THEFT F/AUTO,1
2016,1,23,THEFT/OTHER,7
2016,1,24,ASSAULT W/DANGEROUS WEAPON,9
2016,1,24,BURGLARY,4
2016,1,24,MOTOR VEHICLE THEFT,4
2016,1,24,ROBBERY,2
2016,1,24,THEFT F/AUTO,5
2016,1,24,THEFT/OTHER,15
2016,1,25,ASSAULT W/DANGEROUS WEAPON,7
2016,1,25,BURGLARY,2
2016,1,25,MOTOR VEHICLE THEFT,4
2016,1,25,ROBBERY,8
2016,1,25,SEX ABUSE,2
2016,1,25,THEFT F/AUTO,5
2016,1,25,THEFT/OTHER,13
2016,1,26,ASSAULT W/DANGEROUS WEAPON,7
2016,1,26,BURGLARY,1
2016,1,26,MOTOR VEHICLE THEFT,1
2016,1,26,ROBBERY,14
2016,1,26,SEX ABUSE,2
