Year,Month,Day,Category,Count
2015.0,1,1,Agg Assault Domest,5
2015.0,1,1,Aggravated Assault (,4
2015.0,1,1,Armed Robbery,5
2015.0,1,1,Attempt Suicide by C,1
2015.0,1,1,Attempt Suicide by H,1
2015.0,1,1,Attempt Suicide by S,1
2015.0,1,1,Auto Theft,13
2015.0,1,1,Burglary Non Resid,5
2015.0,1,1,Burglary Residence,10
2015.0,1,1,Counterfeiting,1
2015.0,1,1,Disorderly Conduct,4
2015.0,1,1,Driving Under Influe,9
2015.0,1,1,Intimidation,2
2015.0,1,1,Misc Violation,5
2015.0,1,1,Non Agg Assault Dome,16
2015.0,1,1,Non Aggravated Assau,10
2015.0,1,1,Possession of Drug E,2
2015.0,1,1,Possession/Sale/Dist,6
2015.0,1,1,Property Damage,17
2015.0,1,1,Rape,1
2015.0,1,1,Resisting an Officer,4
2015.0,1,1,Sex Off Fondle mol,1
2015.0,1,1,Statutory Rape,1
2015.0,1,1,Stealing All Other,4
2015.0,1,1,Stealing Auto Parts/,1
2015.0,1,1,Stealing From Auto,8
2015.0,1,1,Stealing from Buildi,13
2015.0,1,1,Stealing Shoplifting,3
2015.0,1,1,Stolen Property OFFE,1
2015.0,1,1,Strong Arm Robbery,3
2015.0,1,1,Trespassing,5
2015.0,1,1,Weapons Law Violatio,1
2015.0,1,2,Agg Assault Domest,3
2015.0,1,2,Aggravated Assault (,1
2015.0,1,2,Armed Robbery,5
2015.0,1,2,Auto Theft,14
2015.0,1,2,Auto Theft Outside S,4
2015.0,1,2,Burglary Non Resid,3
2015.0,1,2,Burglary Residence,16
2015.0,1,2,Disorderly Conduct,1
2015.0,1,2,Driving Under Influe,2
2015.0,1,2,Embezzlement,1
2015.0,1,2,False Information to,1
2015.0,1,2,Forcible Sodomy,3
2015.0,1,2,Forged Checks,3
2015.0,1,2,Fraud/Confidence Gam,3
2015.0,1,2,Intimidation,1
2015.0,1,2,Misc Violation,9
2015.0,1,2,Non Agg Assault Dome,9
2015.0,1,2,Non Aggravated Assau,4
2015.0,1,2,Possession of Drug E,3
2015.0,1,2,Possession/Sale/Dist,9
2015.0,1,2,Property Damage,17
2015.0,1,2,Rape,1
2015.0,1,2,Sex Off Fondle mol,3
2015.0,1,2,Stealing All Other,10
2015.0,1,2,Stealing Auto Parts/,5
2015.0,1,2,Stealing From Auto,8
2015.0,1,2,Stealing from Buildi,9
2015.0,1,2,Stealing Purse Snatc,1
2015.0,1,2,Stealing Shoplifting,9
2015.0,1,2,Stolen Property OFFE,2
2015.0,1,2,Strong Arm Robbery,1
2015.0,1,2,Trespassing,2
2015.0,1,2,Violation Ex Parte O,1
2015.0,1,2,Violation Full Order,3
2015.0,1,2,Weapons Law Violatio,1
