year,month,day,description,count
2014,1,1,Agg Assault - Domest,5
2014,1,1,Agg Assault - Drive-,1
2014,1,1,Aggravated Assault (,9
2014,1,1,Armed Robbery,3
2014,1,1,Auto Theft,17
2014,1,1,Burglary - Non Resid,1
2014,1,1,Burglary - Residence,9
2014,1,1,Credit/Debit/ATM Car,1
2014,1,1,Driving Under Influe,6
2014,1,1,Forcible Sodomy,1
2014,1,1,Fraud/Confidence Gam,1
2014,1,1,HOMICIDE/Non Neglige,1
2014,1,1,Impersonation,1
2014,1,1,Misc Violation,8
2014,1,1,Non Agg Assault Dome,12
2014,1,1,Non Aggravated Assau,6
2014,1,1,Pornography,1
2014,1,1,Possession of Drug E,1
2014,1,1,Possession/Sale/Dist,5
2014,1,1,Property Damage,16
2014,1,1,Rape,1
2014,1,1,Resisting an Officer,1
2014,1,1,Stealing All Other,4
2014,1,1,Stealing Auto Parts/,3
2014,1,1,Stealing From Auto,6
2014,1,1,Stealing Shoplifting,2
2014,1,1,Stealing from Buildi,7
2014,1,1,Trespassing,3
2014,1,1,Violation Ex Parte O,2
2014,1,1,Violation Full Order,1
2014,1,1,Wire Fraud,1
2014,1,2,Agg Assault - Domest,3
2014,1,2,Aggravated Assault (,2
2014,1,2,Auto Theft,16
2014,1,2,Auto Theft Outside S,1
2014,1,2,Burglary - Non Resid,5
2014,1,2,Burglary - Residence,12
2014,1,2,Credit/Debit/ATM Car,1
2014,1,2,Embezzlement,4
2014,1,2,Forgery,1
2014,1,2,Fraud/Confidence Gam,1
2014,1,2,Impersonation,1
2014,1,2,Impersonation - NOT,1
2014,1,2,Misc Violation,12
2014,1,2,Non Agg Assault Dome,14
2014,1,2,Non Aggravated Assau,1
2014,1,2,Possession of Drug E,2
2014,1,2,Property Damage,19
2014,1,2,Statutory Rape,1
2014,1,2,Stealing All Other,6
2014,1,2,Stealing Auto Parts/,8
2014,1,2,Stealing From Auto,4
2014,1,2,Stealing Pickpocket,2
2014,1,2,Stealing Shoplifting,4
2014,1,2,Stealing from Buildi,7
2014,1,2,Strong Arm Robbery,2
2014,1,2,Violation Ex Parte O,1
2014,1,2,Weapons Law Violatio,1
2014,1,3,Aggravated Assault (,4
2014,1,3,Armed Robbery,1
2014,1,3,Arson,1
2014,1,3,Auto Theft,12
2014,1,3,Auto Theft Outside S,4
2014,1,3,Burglary - Non Resid,2
2014,1,3,Burglary - Residence,14
2014,1,3,Credit/Debit/ATM Car,2
2014,1,3,Dead Body,1
2014,1,3,Disorderly Conduct,1
2014,1,3,Driving Under Influe,2
2014,1,3,Failure to Return,1
2014,1,3,Family Offense,1
2014,1,3,Forged Checks,2
2014,1,3,Fraud/Confidence Gam,1
2014,1,3,Liquor Law Violaton,1
2014,1,3,Misc Violation,3
2014,1,3,Non Agg Assault Dome,5
2014,1,3,Non Aggravated Assau,5
2014,1,3,Passing Bad Checks,1
2014,1,3,Possession/Sale/Dist,4
2014,1,3,Property Damage,9
