year,month,day,crime_type,count
2003,1,1,ASSAULT,3
2003,1,1,DISTURBING THE PEACE,3
2003,1,1,FRAUD,32
2003,1,1,OTHER,16
2003,1,1,SEX CRIMES,45
2003,1,1,THEFT/LARCENY,20
2003,1,1,VANDALISM,1
2003,1,2,FRAUD,6
2003,1,2,OTHER,6
2003,1,2,SEX CRIMES,11
2003,1,2,THEFT/LARCENY,1
2003,1,3,OTHER,1
2003,1,4,THEFT/LARCENY,1
2003,1,6,DRUGS/ALCOHOL VIOLATIONS,1
2003,1,6,OTHER,2
2003,1,6,SEX CRIMES,2
2003,1,6,THEFT/LARCENY,1
2003,1,9,THEFT/LARCENY,1
2003,1,11,SEX CRIMES,1
2003,1,12,OTHER,1
2003,1,13,FRAUD,1
2003,1,13,SEX CRIMES,1
2003,1,14,FRAUD,1
2003,1,15,FRAUD,1
2003,1,15,MOTOR VEHICLE THEFT,1
2003,1,15,VEHICLE BREAK-IN/THEFT,1
2003,1,16,FRAUD,1
2003,1,19,ASSAULT,1
2003,1,19,MOTOR VEHICLE THEFT,1
2003,1,20,OTHER,1
2003,1,20,SEX CRIMES,1
2003,1,21,FRAUD,1
2003,1,21,THEFT/LARCENY,3
2003,1,23,FRAUD,1
2003,1,24,FRAUD,2
2003,1,26,FRAUD,1
2003,1,26,THEFT/LARCENY,1
2003,1,27,FRAUD,2
2003,1,28,DRUGS/ALCOHOL VIOLATIONS,2
2003,1,28,THEFT/LARCENY,1
2003,1,29,FRAUD,1
2003,1,29,THEFT/LARCENY,1
2003,2,1,BURGLARY,1
2003,2,1,FRAUD,3
2003,2,1,OTHER,1
2003,2,1,SEX CRIMES,5
2003,2,1,THEFT/LARCENY,5
2003,2,2,ASSAULT,1
2003,2,2,FRAUD,1
2003,2,2,OTHER,1
2003,2,2,THEFT/LARCENY,1
2003,2,3,FRAUD,2
2003,2,5,ASSAULT,1
2003,2,5,FRAUD,1
2003,2,5,THEFT/LARCENY,3
2003,2,6,ASSAULT,2
2003,2,6,OTHER,1
2003,2,8,SEX CRIMES,6
2003,2,9,SEX CRIMES,1
2003,2,10,VEHICLE BREAK-IN/THEFT,1
2003,2,12,FRAUD,1
2003,2,13,FRAUD,1
2003,2,15,OTHER,1
2003,2,15,SEX CRIMES,2
2003,2,15,THEFT/LARCENY,1
2003,2,15,VANDALISM,1
2003,2,16,SEX CRIMES,1
2003,2,17,SEX CRIMES,1
2003,2,17,THEFT/LARCENY,1
2003,2,18,FRAUD,1
2003,2,19,ASSAULT,1
2003,2,19,THEFT/LARCENY,1
2003,2,20,FRAUD,1
2003,2,21,MOTOR VEHICLE THEFT,1
2003,2,22,ASSAULT,1
2003,2,23,FRAUD,1
2003,2,24,FRAUD,1
2003,2,24,THEFT/LARCENY,1
2003,2,24,VEHICLE BREAK-IN/THEFT,1
2003,2,25,ASSAULT,1
2003,2,25,THEFT/LARCENY,3
2003,2,26,DISTURBING THE PEACE,1
2003,2,26,FRAUD,1
2003,2,26,OTHER,2
2003,2,26,SEX CRIMES,1
2003,2,26,THEFT/LARCENY,2
2003,2,27,THEFT/LARCENY,1
2003,2,27,VEHICLE BREAK-IN/THEFT,1
2003,2,28,FRAUD,2
2003,2,28,THEFT/LARCENY,1
2003,3,1,ASSAULT,5
2003,3,1,BURGLARY,2
2003,3,1,FRAUD,8
2003,3,1,HOMICIDE,1
2003,3,1,OTHER,4
2003,3,1,THEFT/LARCENY,14
2003,3,1,VANDALISM,1
2003,3,1,VEHICLE BREAK-IN/THEFT,2
2003,3,2,ASSAULT,2
2003,3,2,BURGLARY,2
2003,3,2,FRAUD,1
2003,3,2,MOTOR VEHICLE THEFT,1
2003,3,2,THEFT/LARCENY,4
2003,3,2,VANDALISM,1
2003,3,3,BURGLARY,1
2003,3,3,FRAUD,1
2003,3,3,THEFT/LARCENY,1
2003,3,4,OTHER,3
2003,3,5,ASSAULT,1
2003,3,5,OTHER,1
2003,3,5,SEX CRIMES,3
2003,3,5,THEFT/LARCENY,1
2003,3,6,ASSAULT,2
2003,3,6,FRAUD,2
2003,3,7,FRAUD,9
2003,3,7,OTHER,1
2003,3,8,OTHER,1
2003,3,8,VEHICLE BREAK-IN/THEFT,1
2003,3,9,THEFT/LARCENY,1
2003,3,10,ASSAULT,1
2003,3,10,DISTURBING THE PEACE,2
2003,3,10,FRAUD,1
2003,3,10,MOTOR VEHICLE THEFT,1
2003,3,10,OTHER,3
2003,3,10,THEFT/LARCENY,5
2003,3,10,VANDALISM,1
2003,3,10,VEHICLE BREAK-IN/THEFT,2
2003,3,11,ASSAULT,1
2003,3,11,FRAUD,1
2003,3,11,OTHER,1
2003,3,11,THEFT/LARCENY,1
2003,3,12,ASSAULT,1
2003,3,12,BURGLARY,1
2003,3,12,FRAUD,1
2003,3,12,VANDALISM,1
2003,3,13,MOTOR VEHICLE THEFT,1
2003,3,13,OTHER,1
2003,3,14,BURGLARY,1
2003,3,14,FRAUD,2
2003,3,14,THEFT/LARCENY,1
2003,3,14,VANDALISM,1
2003,3,15,ASSAULT,1
2003,3,15,BURGLARY,1
2003,3,15,FRAUD,1
2003,3,15,VANDALISM,1
2003,3,16,FRAUD,1
2003,3,16,SEX CRIMES,1
2003,3,16,THEFT/LARCENY,3
2003,3,18,FRAUD,2
2003,3,18,THEFT/LARCENY,1
2003,3,18,VEHICLE BREAK-IN/THEFT,1
2003,3,19,ASSAULT,1
2003,3,19,OTHER,2
2003,3,19,VANDALISM,1
2003,3,20,BURGLARY,1
2003,3,20,FRAUD,3
2003,3,20,OTHER,1
2003,3,20,THEFT/LARCENY,1
2003,3,21,FRAUD,3
2003,3,21,THEFT/LARCENY,4
2003,3,21,VEHICLE BREAK-IN/THEFT,1
2003,3,22,MOTOR VEHICLE THEFT,1
2003,3,22,OTHER,1
2003,3,22,THEFT/LARCENY,1
2003,3,22,VEHICLE BREAK-IN/THEFT,1
2003,3,23,HOMICIDE,1
2003,3,23,OTHER,1
2003,3,23,SEX CRIMES,3
2003,3,24,ASSAULT,1
2003,3,24,OTHER,1
2003,3,24,SEX CRIMES,1
2003,3,24,VANDALISM,2
2003,3,24,VEHICLE BREAK-IN/THEFT,2
2003,3,25,DRUGS/ALCOHOL VIOLATIONS,1
2003,3,25,FRAUD,1
2003,3,25,THEFT/LARCENY,4
2003,3,25,VEHICLE BREAK-IN/THEFT,1
2003,3,26,ASSAULT,1
2003,3,26,THEFT/LARCENY,4
2003,3,27,ASSAULT,1
2003,3,27,BURGLARY,2
2003,3,27,FRAUD,2
2003,3,27,MOTOR VEHICLE THEFT,1
