year,month,day,ofns_desc,count
2009,1,1,ADMINISTRATIVE CODE,2
2009,1,1,ALCOHOLIC BEVERAGE CONTROL LAW,1
2009,1,1,ARSON,8
2009,1,1,ASSAULT 3 & RELATED OFFENSES,217
2009,1,1,BURGLAR'S TOOLS,1
2009,1,1,BURGLARY,28
2009,1,1,CRIMINAL MISCHIEF & RELATED OF,321
2009,1,1,CRIMINAL TRESPASS,20
2009,1,1,DANGEROUS DRUGS,68
2009,1,1,DANGEROUS WEAPONS,41
2009,1,1,FELONY ASSAULT,91
2009,1,1,FORGERY,7
2009,1,1,FRAUDS,35
2009,1,1,GRAND LARCENY,164
2009,1,1,GRAND LARCENY OF MOTOR VEHICLE,27
2009,1,1,HARRASSMENT 2,196
2009,1,1,INTOXICATED & IMPAIRED DRIVING,45
2009,1,1,KIDNAPPING & RELATED OFFENSES,2
2009,1,1,MISCELLANEOUS PENAL LAW,39
2009,1,1,MURDER & NON-NEGL. MANSLAUGHTER,2
2009,1,1,OFF. AGNST PUB ORD SENSBLTY &,171
2009,1,1,OFFENSES AGAINST PUBLIC ADMINI,40
2009,1,1,OFFENSES AGAINST THE PERSON,4
2009,1,1,OFFENSES INVOLVING FRAUD,2
2009,1,1,OTHER OFFENSES RELATED TO THEF,9
2009,1,1,OTHER STATE LAWS (NON PENAL LA,1
2009,1,1,PETIT LARCENY,176
2009,1,1,POSSESSION OF STOLEN PROPERTY,3
2009,1,1,RAPE,36
2009,1,1,ROBBERY,45
2009,1,1,SEX CRIMES,118
2009,1,1,THEFT-FRAUD,100
2009,1,1,UNAUTHORIZED USE OF A VEHICLE,4
2009,1,1,VEHICLE AND TRAFFIC LAWS,8
2009,1,2,ADMINISTRATIVE CODE,3
2009,1,2,ARSON,3
2009,1,2,ASSAULT 3 & RELATED OFFENSES,96
2009,1,2,BURGLARY,50
2009,1,2,CRIMINAL MISCHIEF & RELATED OF,144
2009,1,2,CRIMINAL TRESPASS,26
2009,1,2,DANGEROUS DRUGS,171
2009,1,2,DANGEROUS WEAPONS,46
2009,1,2,DISORDERLY CONDUCT,1
2009,1,2,FELONY ASSAULT,38
2009,1,2,FORGERY,15
2009,1,2,FRAUDS,13
2009,1,2,GRAND LARCENY,88
2009,1,2,GRAND LARCENY OF MOTOR VEHICLE,28
2009,1,2,HARRASSMENT 2,123
2009,1,2,INTOXICATED & IMPAIRED DRIVING,21
2009,1,2,KIDNAPPING & RELATED OFFENSES,2
2009,1,2,MISCELLANEOUS PENAL LAW,35
2009,1,2,NYS LAWS-UNCLASSIFIED FELONY,3
2009,1,2,OFF. AGNST PUB ORD SENSBLTY &,91
2009,1,2,OFFENSES AGAINST PUBLIC ADMINI,20
2009,1,2,OFFENSES AGAINST THE PERSON,6
2009,1,2,OTHER OFFENSES RELATED TO THEF,1
2009,1,2,OTHER STATE LAWS (NON PENAL LA,2
2009,1,2,PETIT LARCENY,204
2009,1,2,POSSESSION OF STOLEN PROPERTY,7
2009,1,2,RAPE,1
2009,1,2,ROBBERY,62
2009,1,2,SEX CRIMES,9
2009,1,2,THEFT-FRAUD,10
2009,1,2,UNAUTHORIZED USE OF A VEHICLE,1
2009,1,2,VEHICLE AND TRAFFIC LAWS,15
2009,1,3,ADMINISTRATIVE CODE,2
2009,1,3,ARSON,8
2009,1,3,ASSAULT 3 & RELATED OFFENSES,128
2009,1,3,BURGLAR'S TOOLS,1
2009,1,3,BURGLARY,41
2009,1,3,CRIMINAL MISCHIEF & RELATED OF,153
2009,1,3,CRIMINAL TRESPASS,33
2009,1,3,DANGEROUS DRUGS,124
2009,1,3,DANGEROUS WEAPONS,38
2009,1,3,DISORDERLY CONDUCT,2
2009,1,3,FELONY ASSAULT,48
2009,1,3,FORGERY,8
2009,1,3,FRAUDS,9
2009,1,3,FRAUDULENT ACCOSTING,1
2009,1,3,GRAND LARCENY,91
2009,1,3,GRAND LARCENY OF MOTOR VEHICLE,33
2009,1,3,HARRASSMENT 2,141
2009,1,3,INTOXICATED & IMPAIRED DRIVING,21
2009,1,3,LOITERING FOR DRUG PURPOSES,1
2009,1,3,MISCELLANEOUS PENAL LAW,31
2009,1,3,MURDER & NON-NEGL. MANSLAUGHTER,1
2009,1,3,NYS LAWS-UNCLASSIFIED FELONY,1
2009,1,3,OFF. AGNST PUB ORD SENSBLTY &,83
2009,1,3,OFFENSES AGAINST PUBLIC ADMINI,20
2009,1,3,OFFENSES AGAINST THE PERSON,4
2009,1,3,OFFENSES INVOLVING FRAUD,11
2009,1,3,OTHER OFFENSES RELATED TO THEF,2
2009,1,3,PETIT LARCENY,220
2009,1,3,POSSESSION OF STOLEN PROPERTY,5
2009,1,3,RAPE,4
2009,1,3,ROBBERY,65
2009,1,3,SEX CRIMES,12
2009,1,3,THEFT-FRAUD,13
2009,1,3,UNAUTHORIZED USE OF A VEHICLE,4
2009,1,3,VEHICLE AND TRAFFIC LAWS,15
2009,1,4,ADMINISTRATIVE CODE,4
2009,1,4,ARSON,5
2009,1,4,ASSAULT 3 & RELATED OFFENSES,118
2009,1,4,BURGLAR'S TOOLS,1
2009,1,4,BURGLARY,20
2009,1,4,CRIMINAL MISCHIEF & RELATED OF,119
2009,1,4,CRIMINAL TRESPASS,18
2009,1,4,DANGEROUS DRUGS,64
2009,1,4,DANGEROUS WEAPONS,18
2009,1,4,FELONY ASSAULT,35
2009,1,4,FORGERY,7
2009,1,4,FRAUDULENT ACCOSTING,2
2009,1,4,GRAND LARCENY,68
2009,1,4,GRAND LARCENY OF MOTOR VEHICLE,27
2009,1,4,HARRASSMENT 2,148
2009,1,4,INTOXICATED & IMPAIRED DRIVING,27
2009,1,4,MISCELLANEOUS PENAL LAW,44
2009,1,4,NYS LAWS-UNCLASSIFIED FELONY,3
2009,1,4,OFF. AGNST PUB ORD SENSBLTY &,73
2009,1,4,OFFENSES AGAINST PUBLIC ADMINI,25
2009,1,4,OFFENSES AGAINST THE PERSON,2
2009,1,4,OFFENSES INVOLVING FRAUD,8
2009,1,4,OTHER OFFENSES RELATED TO THEF,1
2009,1,4,PETIT LARCENY,168
2009,1,4,POSSESSION OF STOLEN PROPERTY,4
2009,1,4,RAPE,2
2009,1,4,ROBBERY,39
2009,1,4,SEX CRIMES,7
2009,1,4,THEFT-FRAUD,8
2009,1,4,UNAUTHORIZED USE OF A VEHICLE,2
2009,1,4,VEHICLE AND TRAFFIC LAWS,10
2009,1,5,ADMINISTRATIVE CODE,2
2009,1,5,ARSON,6
2009,1,5,ASSAULT 3 & RELATED OFFENSES,103
2009,1,5,BURGLAR'S TOOLS,1
2009,1,5,BURGLARY,59
2009,1,5,CRIMINAL MISCHIEF & RELATED OF,172
2009,1,5,CRIMINAL TRESPASS,15
2009,1,5,DANGEROUS DRUGS,56
2009,1,5,DANGEROUS WEAPONS,29
2009,1,5,FELONY ASSAULT,36
2009,1,5,FORGERY,7
2009,1,5,FRAUDS,15
2009,1,5,FRAUDULENT ACCOSTING,4
2009,1,5,GRAND LARCENY,122
2009,1,5,GRAND LARCENY OF MOTOR VEHICLE,34
2009,1,5,HARRASSMENT 2,168
