year,month,day,UCR CRIME CATEGORY,count
2016,1,1,AGGRAVATED ASSAULT,16
2016,1,1,BURGLARY,31
2016,1,1,DRUG OFFENSE,9
2016,1,1,LARCENY-THEFT,99
2016,1,1,MOTOR VEHICLE THEFT,12
2016,1,1,MURDER AND NON-NEGLIGENT MANSLAUGHTER,1
2016,1,1,RAPE,11
2016,1,1,ROBBERY,3
2016,1,2,AGGRAVATED ASSAULT,9
2016,1,2,ARSON,3
2016,1,2,BURGLARY,18
2016,1,2,DRUG OFFENSE,9
2016,1,2,LARCENY-THEFT,76
2016,1,2,MOTOR VEHICLE THEFT,24
2016,1,2,RAPE,1
2016,1,2,ROBBERY,3
2016,1,3,AGGRAVATED ASSAULT,4
2016,1,3,BURGLARY,21
2016,1,3,DRUG OFFENSE,7
2016,1,3,LARCENY-THEFT,84
2016,1,3,MOTOR VEHICLE THEFT,19
2016,1,3,RAPE,2
2016,1,3,ROBBERY,9
2016,1,4,AGGRAVATED ASSAULT,5
2016,1,4,BURGLARY,28
2016,1,4,DRUG OFFENSE,17
2016,1,4,LARCENY-THEFT,107
2016,1,4,MOTOR VEHICLE THEFT,22
2016,1,4,RAPE,3
2016,1,4,ROBBERY,5
2016,1,5,AGGRAVATED ASSAULT,9
2016,1,5,BURGLARY,42
2016,1,5,DRUG OFFENSE,20
2016,1,5,LARCENY-THEFT,64
2016,1,5,MOTOR VEHICLE THEFT,24
2016,1,5,MURDER AND NON-NEGLIGENT MANSLAUGHTER,1
2016,1,5,ROBBERY,5
2016,1,6,AGGRAVATED ASSAULT,6
2016,1,6,BURGLARY,43
2016,1,6,DRUG OFFENSE,16
2016,1,6,LARCENY-THEFT,94
2016,1,6,MOTOR VEHICLE THEFT,26
2016,1,6,MURDER AND NON-NEGLIGENT MANSLAUGHTER,1
2016,1,6,RAPE,4
2016,1,6,ROBBERY,9
2016,1,7,AGGRAVATED ASSAULT,11
2016,1,7,BURGLARY,23
2016,1,7,DRUG OFFENSE,19
2016,1,7,LARCENY-THEFT,94
2016,1,7,MOTOR VEHICLE THEFT,16
2016,1,7,ROBBERY,7
2016,1,8,AGGRAVATED ASSAULT,11
2016,1,8,ARSON,2
2016,1,8,BURGLARY,49
2016,1,8,DRUG OFFENSE,14
2016,1,8,LARCENY-THEFT,88
2016,1,8,MOTOR VEHICLE THEFT,19
