,year,month,day,category,count
0,2016,10,1,arson,2
1,2016,10,1,assault,11
2,2016,10,1,battery,29
3,2016,10,1,burglary,52
4,2016,10,1,child-related crimes,4
5,2016,10,1,disorderly conduct,12
6,2016,10,1,driving under the influence,19
7,2016,10,1,drug possession,27
8,2016,10,1,drunk in public,18
9,2016,10,1,fraud,12
10,2016,10,1,illegal conceal or carry of weapon,4
11,2016,10,1,motor vehicle theft,38
12,2016,10,1,murder,1
13,2016,10,1,other,58
14,2016,10,1,"sex crimes, not child-related",8
15,2016,10,1,theft,68
16,2016,10,1,vandalism,25
17,2016,10,10,arson,2
18,2016,10,10,assault,11
19,2016,10,10,battery,22
20,2016,10,10,burglary,47
21,2016,10,10,child-related crimes,4
22,2016,10,10,disorderly conduct,2
23,2016,10,10,driving under the influence,8
24,2016,10,10,drug possession,47
25,2016,10,10,drunk in public,15
26,2016,10,10,fraud,4
27,2016,10,10,illegal conceal or carry of weapon,2
28,2016,10,10,"illegal sales, manufacture, or transport",2
29,2016,10,10,motor vehicle theft,40
30,2016,10,10,other,32
31,2016,10,10,"sex crimes, not child-related",2
32,2016,10,10,theft,58
33,2016,10,10,vandalism,28
34,2016,10,11,arson,2
35,2016,10,11,assault,14
36,2016,10,11,attempted murder,1
37,2016,10,11,battery,17
38,2016,10,11,burglary,57
39,2016,10,11,child-related crimes,3
40,2016,10,11,disorderly conduct,4
41,2016,10,11,driving under the influence,9
42,2016,10,11,drug possession,34
43,2016,10,11,drunk in public,11
44,2016,10,11,fraud,7
45,2016,10,11,illegal conceal or carry of weapon,2
46,2016,10,11,"illegal sales, manufacture, or transport",4
47,2016,10,11,motor vehicle theft,37
48,2016,10,11,murder,1
49,2016,10,11,other,39
50,2016,10,11,"sex crimes, not child-related",4
51,2016,10,11,theft,67
52,2016,10,11,vandalism,22
53,2016,10,11,weapon-related crime,3
54,2016,10,12,arson,1
55,2016,10,12,assault,9
56,2016,10,12,battery,25
57,2016,10,12,burglary,50
58,2016,10,12,child-related crimes,2
59,2016,10,12,disorderly conduct,2
60,2016,10,12,driving under the influence,8
61,2016,10,12,drug possession,42
62,2016,10,12,drunk in public,4
63,2016,10,12,fraud,9
64,2016,10,12,illegal conceal or carry of weapon,4
65,2016,10,12,"illegal sales, manufacture, or transport",5
66,2016,10,12,motor vehicle theft,46
67,2016,10,12,other,47
68,2016,10,12,"sex crimes, not child-related",2
69,2016,10,12,theft,67
70,2016,10,12,vandalism,27
71,2016,10,12,weapon-related crime,3
72,2016,10,13,assault,6
73,2016,10,13,battery,22
74,2016,10,13,burglary,42
75,2016,10,13,child-related crimes,1
76,2016,10,13,disorderly conduct,5
77,2016,10,13,driving under the influence,11
78,2016,10,13,drug possession,39
79,2016,10,13,drunk in public,14
80,2016,10,13,fraud,8
81,2016,10,13,illegal conceal or carry of weapon,7
82,2016,10,13,"illegal sales, manufacture, or transport",5
83,2016,10,13,motor vehicle theft,42
84,2016,10,13,murder,1
85,2016,10,13,other,35
86,2016,10,13,"sex crimes, not child-related",15
87,2016,10,13,theft,94
88,2016,10,13,vandalism,23
89,2016,10,13,weapon-related crime,2
90,2016,10,14,arson,1
91,2016,10,14,assault,8
92,2016,10,14,battery,22
93,2016,10,14,burglary,56
94,2016,10,14,child-related crimes,2
95,2016,10,14,disorderly conduct,3
96,2016,10,14,driving under the influence,8
97,2016,10,14,drug possession,55
98,2016,10,14,drunk in public,18
99,2016,10,14,fraud,6
100,2016,10,14,illegal conceal or carry of weapon,4
101,2016,10,14,"illegal sales, manufacture, or transport",3
102,2016,10,14,motor vehicle theft,30
103,2016,10,14,other,44
104,2016,10,14,"sex crimes, not child-related",10
105,2016,10,14,theft,92
106,2016,10,14,vandalism,34
107,2016,10,14,weapon-related crime,1
108,2016,10,15,arson,1
109,2016,10,15,assault,6
110,2016,10,15,battery,23
111,2016,10,15,burglary,45
112,2016,10,15,child-related crimes,2
113,2016,10,15,disorderly conduct,6
114,2016,10,15,driving under the influence,16
115,2016,10,15,drug possession,42
116,2016,10,15,drunk in public,10
117,2016,10,15,fraud,4
118,2016,10,15,illegal conceal or carry of weapon,5
119,2016,10,15,motor vehicle theft,57
120,2016,10,15,murder,1
121,2016,10,15,other,39
122,2016,10,15,"sex crimes, not child-related",11
123,2016,10,15,theft,92
124,2016,10,15,vandalism,27
125,2016,10,15,weapon-related crime,2
126,2016,10,16,assault,14
127,2016,10,16,battery,25
128,2016,10,16,burglary,49
129,2016,10,16,child-related crimes,3
130,2016,10,16,disorderly conduct,10
131,2016,10,16,driving under the influence,21
132,2016,10,16,drug possession,19
133,2016,10,16,drunk in public,12
134,2016,10,16,fraud,1
135,2016,10,16,illegal conceal or carry of weapon,4
136,2016,10,16,"illegal sales, manufacture, or transport",2
137,2016,10,16,motor vehicle theft,51
138,2016,10,16,murder,1
139,2016,10,16,other,42
140,2016,10,16,"sex crimes, not child-related",9
141,2016,10,16,theft,64
142,2016,10,16,vandalism,27
143,2016,10,16,weapon-related crime,1
144,2016,10,17,arson,2
145,2016,10,17,assault,8
146,2016,10,17,battery,23
147,2016,10,17,burglary,57
148,2016,10,17,child-related crimes,2
149,2016,10,17,driving under the influence,6
150,2016,10,17,drug possession,25
151,2016,10,17,drunk in public,5
152,2016,10,17,fraud,8
153,2016,10,17,illegal conceal or carry of weapon,4
154,2016,10,17,"illegal sales, manufacture, or transport",4
155,2016,10,17,motor vehicle theft,51
156,2016,10,17,other,24
157,2016,10,17,"sex crimes, not child-related",5
158,2016,10,17,theft,72
159,2016,10,17,vandalism,20
160,2016,10,17,weapon-related crime,1
161,2016,10,18,assault,6
162,2016,10,18,battery,23
163,2016,10,18,burglary,47
164,2016,10,18,disorderly conduct,5
165,2016,10,18,driving under the influence,9
166,2016,10,18,drug possession,33
167,2016,10,18,drunk in public,10
168,2016,10,18,fraud,7
169,2016,10,18,illegal conceal or carry of weapon,1
170,2016,10,18,motor vehicle theft,33
171,2016,10,18,other,40
172,2016,10,18,"sex crimes, not child-related",3
173,2016,10,18,theft,82
174,2016,10,18,vandalism,25
175,2016,10,18,weapon-related crime,3
176,2016,10,19,assault,6
177,2016,10,19,attempted murder,1
178,2016,10,19,battery,16
179,2016,10,19,burglary,41
180,2016,10,19,child-related crimes,1
181,2016,10,19,disorderly conduct,2
182,2016,10,19,driving under the influence,11
183,2016,10,19,drug possession,37
184,2016,10,19,drunk in public,10
185,2016,10,19,fraud,6
186,2016,10,19,illegal conceal or carry of weapon,6
187,2016,10,19,"illegal sales, manufacture, or transport",7
188,2016,10,19,motor vehicle theft,48
189,2016,10,19,other,29
190,2016,10,19,"sex crimes, not child-related",6
191,2016,10,19,theft,65
192,2016,10,19,vandalism,22
193,2016,10,19,weapon-related crime,2
194,2016,10,2,arson,1
195,2016,10,2,assault,12
196,2016,10,2,battery,32
197,2016,10,2,burglary,51
198,2016,10,2,disorderly conduct,13
199,2016,10,2,driving under the influence,15
200,2016,10,2,drug possession,24
201,2016,10,2,drunk in public,19
202,2016,10,2,fraud,3
203,2016,10,2,illegal conceal or carry of weapon,3
204,2016,10,2,"illegal sales, manufacture, or transport",2
205,2016,10,2,motor vehicle theft,39
206,2016,10,2,other,49
207,2016,10,2,"sex crimes, not child-related",5
208,2016,10,2,theft,70
209,2016,10,2,vandalism,30
210,2016,10,2,weapon-related crime,1
211,2016,10,20,assault,8
212,2016,10,20,battery,30
213,2016,10,20,burglary,46
214,2016,10,20,child-related crimes,1
215,2016,10,20,disorderly conduct,10
216,2016,10,20,driving under the influence,6
217,2016,10,20,drug possession,34
218,2016,10,20,drunk in public,6
219,2016,10,20,fraud,6
220,2016,10,20,illegal conceal or carry of weapon,6
221,2016,10,20,"illegal sales, manufacture, or transport",5
222,2016,10,20,motor vehicle theft,26
223,2016,10,20,other,28
224,2016,10,20,"sex crimes, not child-related",6
225,2016,10,20,theft,80
226,2016,10,20,vandalism,27
227,2016,10,20,weapon-related crime,2
228,2016,10,21,arson,2
229,2016,10,21,assault,16
230,2016,10,21,battery,18
231,2016,10,21,burglary,56
232,2016,10,21,child-related crimes,2
233,2016,10,21,disorderly conduct,3
234,2016,10,21,driving under the influence,13
235,2016,10,21,drug possession,44
236,2016,10,21,drunk in public,13
237,2016,10,21,fraud,3
238,2016,10,21,illegal conceal or carry of weapon,5
239,2016,10,21,"illegal sales, manufacture, or transport",11
240,2016,10,21,motor vehicle theft,42
241,2016,10,21,other,29
242,2016,10,21,"sex crimes, not child-related",2
243,2016,10,21,theft,93
244,2016,10,21,vandalism,32
245,2016,10,21,weapon-related crime,2
246,2016,10,22,arson,4
247,2016,10,22,assault,12
248,2016,10,22,battery,20
249,2016,10,22,burglary,54
250,2016,10,22,child-related crimes,1
251,2016,10,22,disorderly conduct,6
252,2016,10,22,driving under the influence,23
253,2016,10,22,drug possession,23
254,2016,10,22,drunk in public,25
255,2016,10,22,fraud,1
256,2016,10,22,illegal conceal or carry of weapon,5
257,2016,10,22,motor vehicle theft,39
258,2016,10,22,murder,1
259,2016,10,22,other,33
260,2016,10,22,"sex crimes, not child-related",6
261,2016,10,22,theft,72
262,2016,10,22,vandalism,27
263,2016,10,22,weapon-related crime,1
264,2016,10,23,assault,16
265,2016,10,23,battery,31
266,2016,10,23,burglary,49
267,2016,10,23,child-related crimes,2
268,2016,10,23,disorderly conduct,6
269,2016,10,23,driving under the influence,22
270,2016,10,23,drug possession,18
271,2016,10,23,drunk in public,12
272,2016,10,23,fraud,2
273,2016,10,23,illegal conceal or carry of weapon,6
274,2016,10,23,"illegal sales, manufacture, or transport",1
275,2016,10,23,motor vehicle theft,33
276,2016,10,23,other,33
277,2016,10,23,"sex crimes, not child-related",3
278,2016,10,23,theft,51
279,2016,10,23,vandalism,26
280,2016,10,23,weapon-related crime,1
281,2016,10,24,assault,5
282,2016,10,24,battery,13
283,2016,10,24,burglary,43
284,2016,10,24,child-related crimes,4
285,2016,10,24,disorderly conduct,5
286,2016,10,24,driving under the influence,5
287,2016,10,24,drug possession,30
288,2016,10,24,drunk in public,15
289,2016,10,24,fraud,5
290,2016,10,24,illegal conceal or carry of weapon,1
291,2016,10,24,"illegal sales, manufacture, or transport",3
292,2016,10,24,motor vehicle theft,50
293,2016,10,24,other,38
