,year,month,day,category,count
0,2017,1,1,arson,1
1,2017,1,1,assault,16
2,2017,1,1,battery,36
3,2017,1,1,burglary,54
4,2017,1,1,child-related crimes,4
5,2017,1,1,disorderly conduct,10
6,2017,1,1,driving under the influence,13
7,2017,1,1,drug possession,27
8,2017,1,1,drunk in public,23
9,2017,1,1,fraud,6
10,2017,1,1,illegal conceal or carry of weapon,4
11,2017,1,1,"illegal sales, manufacture, or transport",2
12,2017,1,1,motor vehicle theft,35
13,2017,1,1,other,39
14,2017,1,1,"sex crimes, not child-related",14
15,2017,1,1,theft,55
16,2017,1,1,vandalism,23
17,2017,1,1,weapon-related crime,1
18,2017,1,10,arson,1
19,2017,1,10,assault,9
20,2017,1,10,battery,19
21,2017,1,10,burglary,43
22,2017,1,10,child-related crimes,3
23,2017,1,10,disorderly conduct,3
24,2017,1,10,driving under the influence,5
25,2017,1,10,drug possession,35
26,2017,1,10,drunk in public,11
27,2017,1,10,fraud,3
28,2017,1,10,illegal conceal or carry of weapon,6
29,2017,1,10,"illegal sales, manufacture, or transport",1
30,2017,1,10,motor vehicle theft,45
31,2017,1,10,other,28
32,2017,1,10,"sex crimes, not child-related",8
33,2017,1,10,theft,73
34,2017,1,10,vandalism,26
35,2017,1,10,weapon-related crime,4
36,2017,1,11,arson,1
37,2017,1,11,assault,3
38,2017,1,11,battery,23
39,2017,1,11,burglary,55
40,2017,1,11,child-related crimes,3
41,2017,1,11,disorderly conduct,4
42,2017,1,11,driving under the influence,7
43,2017,1,11,drug possession,24
44,2017,1,11,drunk in public,10
45,2017,1,11,fraud,10
46,2017,1,11,illegal conceal or carry of weapon,2
47,2017,1,11,"illegal sales, manufacture, or transport",3
48,2017,1,11,motor vehicle theft,39
49,2017,1,11,other,34
50,2017,1,11,"sex crimes, not child-related",1
51,2017,1,11,theft,82
52,2017,1,11,vandalism,25
53,2017,1,11,weapon-related crime,2
54,2017,1,12,arson,1
55,2017,1,12,assault,6
56,2017,1,12,battery,25
57,2017,1,12,burglary,51
58,2017,1,12,child-related crimes,2
59,2017,1,12,disorderly conduct,3
60,2017,1,12,driving under the influence,9
61,2017,1,12,drug possession,35
62,2017,1,12,drunk in public,19
63,2017,1,12,fraud,3
64,2017,1,12,illegal conceal or carry of weapon,4
65,2017,1,12,"illegal sales, manufacture, or transport",2
66,2017,1,12,motor vehicle theft,43
67,2017,1,12,murder,1
68,2017,1,12,other,30
69,2017,1,12,"sex crimes, not child-related",4
70,2017,1,12,theft,63
71,2017,1,12,vandalism,30
72,2017,1,12,weapon-related crime,2
73,2017,1,13,assault,12
74,2017,1,13,battery,24
75,2017,1,13,burglary,69
76,2017,1,13,child-related crimes,3
77,2017,1,13,disorderly conduct,2
78,2017,1,13,driving under the influence,15
79,2017,1,13,drug possession,43
80,2017,1,13,drunk in public,12
81,2017,1,13,fraud,3
82,2017,1,13,illegal conceal or carry of weapon,3
83,2017,1,13,"illegal sales, manufacture, or transport",2
84,2017,1,13,motor vehicle theft,48
85,2017,1,13,murder,1
86,2017,1,13,other,31
87,2017,1,13,"sex crimes, not child-related",3
88,2017,1,13,theft,82
89,2017,1,13,vandalism,29
90,2017,1,13,weapon-related crime,3
91,2017,1,14,assault,10
92,2017,1,14,attempted murder,2
93,2017,1,14,battery,23
94,2017,1,14,burglary,44
95,2017,1,14,child-related crimes,3
96,2017,1,14,disorderly conduct,6
97,2017,1,14,driving under the influence,18
98,2017,1,14,drug possession,31
99,2017,1,14,drunk in public,14
100,2017,1,14,fraud,8
101,2017,1,14,illegal conceal or carry of weapon,4
102,2017,1,14,"illegal sales, manufacture, or transport",5
103,2017,1,14,motor vehicle theft,47
104,2017,1,14,murder,1
105,2017,1,14,other,27
106,2017,1,14,"sex crimes, not child-related",6
107,2017,1,14,theft,82
108,2017,1,14,vandalism,31
109,2017,1,15,arson,3
110,2017,1,15,assault,8
111,2017,1,15,attempted murder,1
112,2017,1,15,battery,25
113,2017,1,15,burglary,61
114,2017,1,15,child-related crimes,3
115,2017,1,15,disorderly conduct,2
116,2017,1,15,driving under the influence,12
117,2017,1,15,drug possession,28
118,2017,1,15,drunk in public,14
119,2017,1,15,fraud,6
120,2017,1,15,illegal conceal or carry of weapon,1
121,2017,1,15,motor vehicle theft,41
122,2017,1,15,other,26
123,2017,1,15,"sex crimes, not child-related",6
124,2017,1,15,theft,59
125,2017,1,15,vandalism,21
126,2017,1,15,weapon-related crime,1
127,2017,1,16,arson,2
128,2017,1,16,assault,7
129,2017,1,16,attempted murder,1
130,2017,1,16,battery,28
131,2017,1,16,burglary,47
132,2017,1,16,disorderly conduct,5
133,2017,1,16,driving under the influence,8
134,2017,1,16,drug possession,22
135,2017,1,16,drunk in public,6
136,2017,1,16,fraud,4
137,2017,1,16,illegal conceal or carry of weapon,2
138,2017,1,16,"illegal sales, manufacture, or transport",2
139,2017,1,16,motor vehicle theft,36
140,2017,1,16,murder,1
141,2017,1,16,other,40
142,2017,1,16,"sex crimes, not child-related",5
143,2017,1,16,theft,76
144,2017,1,16,vandalism,23
145,2017,1,17,arson,2
146,2017,1,17,assault,12
147,2017,1,17,battery,22
148,2017,1,17,burglary,57
149,2017,1,17,child-related crimes,3
150,2017,1,17,disorderly conduct,3
151,2017,1,17,driving under the influence,13
152,2017,1,17,drug possession,24
153,2017,1,17,drunk in public,9
154,2017,1,17,fraud,4
155,2017,1,17,illegal conceal or carry of weapon,2
156,2017,1,17,"illegal sales, manufacture, or transport",2
157,2017,1,17,motor vehicle theft,32
158,2017,1,17,other,38
159,2017,1,17,"sex crimes, not child-related",1
160,2017,1,17,theft,70
161,2017,1,17,vandalism,24
162,2017,1,17,weapon-related crime,2
163,2017,1,18,assault,8
164,2017,1,18,battery,29
165,2017,1,18,burglary,44
166,2017,1,18,child-related crimes,1
167,2017,1,18,disorderly conduct,8
168,2017,1,18,driving under the influence,10
169,2017,1,18,drug possession,33
170,2017,1,18,drunk in public,9
