year,month,day,category,count
2014,01,01,ARSON,3
2014,01,01,ASSAULT,57
2014,01,01,BURGLARY,20
2014,01,01,DRIVING UNDER THE INFLUENCE,3
2014,01,01,DRUG/NARCOTIC,17
2014,01,01,DRUNKENNESS,7
2014,01,01,EMBEZZLEMENT,5
2014,01,01,FRAUD,10
2014,01,01,KIDNAPPING,4
2014,01,01,LARCENY/THEFT,88
2014,01,01,MISSING PERSON,22
2014,01,01,NON-CRIMINAL,66
2014,01,01,OTHER OFFENSES,72
2014,01,01,ROBBERY,7
2014,01,01,SECONDARY CODES,4
2014,01,01,"SEX OFFENSES, FORCIBLE",12
2014,01,01,STOLEN PROPERTY,4
2014,01,01,SUSPICIOUS OCC,16
2014,01,01,TRESPASS,3
2014,01,01,VANDALISM,33
2014,01,01,VEHICLE THEFT,12
2014,01,01,WARRANTS,16
2014,01,01,WEAPON LAWS,7
2014,01,02,ARSON,1
2014,01,02,ASSAULT,23
2014,01,02,BURGLARY,19
2014,01,02,DRIVING UNDER THE INFLUENCE,1
2014,01,02,DRUG/NARCOTIC,23
2014,01,02,DRUNKENNESS,2
2014,01,02,EMBEZZLEMENT,1
2014,01,02,FORGERY/COUNTERFEITING,4
2014,01,02,FRAUD,10
2014,01,02,KIDNAPPING,1
2014,01,02,LARCENY/THEFT,83
2014,01,02,MISSING PERSON,17
2014,01,02,NON-CRIMINAL,69
2014,01,02,OTHER OFFENSES,46
2014,01,02,ROBBERY,6
2014,01,02,RUNAWAY,1
2014,01,02,SECONDARY CODES,4
2014,01,02,"SEX OFFENSES, FORCIBLE",1
2014,01,02,"SEX OFFENSES, NON FORCIBLE",1
2014,01,02,STOLEN PROPERTY,3
2014,01,02,SUSPICIOUS OCC,16
2014,01,02,TRESPASS,1
2014,01,02,VANDALISM,19
2014,01,02,VEHICLE THEFT,15
2014,01,02,WARRANTS,19
2014,01,02,WEAPON LAWS,1
2014,01,03,ARSON,2
2014,01,03,ASSAULT,23
2014,01,03,BURGLARY,20
2014,01,03,DISORDERLY CONDUCT,1
2014,01,03,DRUG/NARCOTIC,28
2014,01,03,DRUNKENNESS,4
2014,01,03,FAMILY OFFENSES,3
2014,01,03,FORGERY/COUNTERFEITING,1
2014,01,03,FRAUD,5
2014,01,03,LARCENY/THEFT,78
2014,01,03,LIQUOR LAWS,3
2014,01,03,MISSING PERSON,22
2014,01,03,NON-CRIMINAL,56
2014,01,03,OTHER OFFENSES,77
2014,01,03,PROSTITUTION,1
2014,01,03,ROBBERY,4
2014,01,03,RUNAWAY,1
2014,01,03,SECONDARY CODES,6
2014,01,03,STOLEN PROPERTY,2
2014,01,03,SUSPICIOUS OCC,13
2014,01,03,TRESPASS,2
2014,01,03,VANDALISM,19
2014,01,03,VEHICLE THEFT,24
2014,01,03,WARRANTS,20
2014,01,03,WEAPON LAWS,12
2014,01,04,ARSON,2
2014,01,04,ASSAULT,34
2014,01,04,BURGLARY,16
2014,01,04,DISORDERLY CONDUCT,3
2014,01,04,DRUG/NARCOTIC,23
2014,01,04,DRUNKENNESS,2
2014,01,04,FORGERY/COUNTERFEITING,2
2014,01,04,FRAUD,5
2014,01,04,KIDNAPPING,4
2014,01,04,LARCENY/THEFT,84
2014,01,04,MISSING PERSON,26
2014,01,04,NON-CRIMINAL,50
2014,01,04,OTHER OFFENSES,36
2014,01,04,PROSTITUTION,3
2014,01,04,ROBBERY,5
2014,01,04,SECONDARY CODES,4
2014,01,04,"SEX OFFENSES, FORCIBLE",2
2014,01,04,SUSPICIOUS OCC,12
2014,01,04,TRESPASS,3
2014,01,04,VANDALISM,22
2014,01,04,VEHICLE THEFT,9
2014,01,04,WARRANTS,19
2014,01,04,WEAPON LAWS,2
2014,01,05,ARSON,1
2014,01,05,ASSAULT,27
2014,01,05,BURGLARY,18
