year,month,day,metric,count
2016,1,1,AGG. ASSAULT,17
2016,1,1,ARSON,2
2016,1,1,AUTO THEFT,19
2016,1,1,BURGLARY,18
2016,1,1,COMMON ASSAULT,22
2016,1,1,HOMICIDE,1
2016,1,1,LARCENY,35
2016,1,1,LARCENY FROM AUTO,22
2016,1,1,ROBBERY - COMMERCIAL,3
2016,1,1,ROBBERY - RESIDENCE,2
2016,1,1,ROBBERY - STREET,8
2016,1,1,SHOOTING,3
2016,1,2,AGG. ASSAULT,14
2016,1,2,ASSAULT BY THREAT,4
2016,1,2,AUTO THEFT,10
2016,1,2,BURGLARY,6
2016,1,2,COMMON ASSAULT,21
2016,1,2,LARCENY,33
2016,1,2,LARCENY FROM AUTO,8
2016,1,2,ROBBERY - COMMERCIAL,6
2016,1,2,ROBBERY - RESIDENCE,1
2016,1,2,ROBBERY - STREET,9
2016,1,2,SHOOTING,1
2016,1,3,AGG. ASSAULT,13
2016,1,3,AUTO THEFT,13
2016,1,3,BURGLARY,22
2016,1,3,COMMON ASSAULT,10
2016,1,3,LARCENY,15
2016,1,3,LARCENY FROM AUTO,22
2016,1,3,ROBBERY - CARJACKING,2
2016,1,3,ROBBERY - COMMERCIAL,2
2016,1,3,ROBBERY - RESIDENCE,1
2016,1,3,ROBBERY - STREET,9
2016,1,4,AGG. ASSAULT,5
2016,1,4,AUTO THEFT,21
2016,1,4,BURGLARY,24
2016,1,4,COMMON ASSAULT,10
2016,1,4,LARCENY,21
2016,1,4,LARCENY FROM AUTO,14
2016,1,4,ROBBERY - CARJACKING,2
2016,1,4,ROBBERY - COMMERCIAL,3
2016,1,4,ROBBERY - RESIDENCE,3
2016,1,4,ROBBERY - STREET,6
2016,1,5,AGG. ASSAULT,12
2016,1,5,ARSON,1
2016,1,5,ASSAULT BY THREAT,3
2016,1,5,AUTO THEFT,20
2016,1,5,BURGLARY,16
2016,1,5,COMMON ASSAULT,20
2016,1,5,HOMICIDE,1
2016,1,5,LARCENY,28
2016,1,5,LARCENY FROM AUTO,9
2016,1,5,RAPE,1
2016,1,5,ROBBERY - COMMERCIAL,2
2016,1,5,ROBBERY - RESIDENCE,1
2016,1,5,ROBBERY - STREET,12
2016,1,6,AGG. ASSAULT,8
2016,1,6,ASSAULT BY THREAT,3
2016,1,6,AUTO THEFT,18
2016,1,6,BURGLARY,24
2016,1,6,COMMON ASSAULT,19
2016,1,6,LARCENY,22
2016,1,6,LARCENY FROM AUTO,11
2016,1,6,RAPE,2
2016,1,6,ROBBERY - CARJACKING,3
2016,1,6,ROBBERY - COMMERCIAL,2
2016,1,6,ROBBERY - RESIDENCE,1
2016,1,6,ROBBERY - STREET,7
2016,1,7,AGG. ASSAULT,10
2016,1,7,ARSON,2
2016,1,7,ASSAULT BY THREAT,4
2016,1,7,AUTO THEFT,10
2016,1,7,BURGLARY,20
2016,1,7,COMMON ASSAULT,23
2016,1,7,HOMICIDE,3
2016,1,7,LARCENY,29
2016,1,7,LARCENY FROM AUTO,20
2016,1,7,RAPE,1
2016,1,7,ROBBERY - COMMERCIAL,3
2016,1,7,ROBBERY - RESIDENCE,1
2016,1,7,ROBBERY - STREET,10
2016,1,7,SHOOTING,5
2016,1,8,AGG. ASSAULT,10
2016,1,8,ARSON,1
2016,1,8,ASSAULT BY THREAT,1
2016,1,8,AUTO THEFT,15
2016,1,8,BURGLARY,30
2016,1,8,COMMON ASSAULT,25
2016,1,8,LARCENY,39
2016,1,8,LARCENY FROM AUTO,13
2016,1,8,RAPE,1
2016,1,8,ROBBERY - CARJACKING,2
2016,1,8,ROBBERY - COMMERCIAL,3
2016,1,8,ROBBERY - STREET,18
2016,1,8,SHOOTING,3
2016,1,9,AGG. ASSAULT,13
2016,1,9,ARSON,1
2016,1,9,AUTO THEFT,21
2016,1,9,BURGLARY,15
2016,1,9,COMMON ASSAULT,21
2016,1,9,LARCENY,18
2016,1,9,LARCENY FROM AUTO,20
2016,1,9,ROBBERY - CARJACKING,3
2016,1,9,ROBBERY - COMMERCIAL,1
2016,1,9,ROBBERY - RESIDENCE,1
2016,1,9,ROBBERY - STREET,15
2016,1,9,SHOOTING,3
2016,1,10,AGG. ASSAULT,10
2016,1,10,AUTO THEFT,15
2016,1,10,BURGLARY,16
2016,1,10,COMMON ASSAULT,20
2016,1,10,HOMICIDE,1
2016,1,10,LARCENY,15
2016,1,10,LARCENY FROM AUTO,14
2016,1,10,ROBBERY - CARJACKING,3
2016,1,10,ROBBERY - COMMERCIAL,1
2016,1,10,ROBBERY - RESIDENCE,7
2016,1,10,ROBBERY - STREET,8
2016,1,10,SHOOTING,4
2016,1,11,AGG. ASSAULT,12
2016,1,11,ASSAULT BY THREAT,1
2016,1,11,AUTO THEFT,19
2016,1,11,BURGLARY,23
2016,1,11,COMMON ASSAULT,14
2016,1,11,HOMICIDE,1
2016,1,11,LARCENY,16
2016,1,11,LARCENY FROM AUTO,10
2016,1,11,RAPE,3
2016,1,11,ROBBERY - CARJACKING,5
2016,1,11,ROBBERY - COMMERCIAL,2
