year,month,day,metric,count
2015,1,1,ABANDONED M/V,1
2015,1,1,ANIMAL COMPLNT,1
2015,1,1,ASSAULT 3,6
2015,1,1,ASSLT-1-GUN,1
2015,1,1,BREACH-PEACE,1
2015,1,1,BURG2-RES-NITE,4
2015,1,1,BURG3-COM-NITE,1
2015,1,1,CASE DRAWN IN ERROR,1
2015,1,1,COMM TENSION;COMM-SERVICE,3
2015,1,1,CR MISCHIEF 3,10
2015,1,1,CR TRESPASS 3,2
2015,1,1,DRUNK DRIVING,2
2015,1,1,FALLS-PRIVATE,1
2015,1,1,FIRE-OTHER BLDG,1
2015,1,1,FOUND PERSON,1
2015,1,1,FT DRIVE PROP LANE,1
2015,1,1,GPS - PROTECTIVE ORDER,1
2015,1,1,HARRASSMENT,1
2015,1,1,LARC1-EMBEZZLE,1
2015,1,1,LARC1-FROM M/V,2
2015,1,1,LARC2-FROM M/V,2
2015,1,1,LARC3-BUILDING,1
2015,1,1,LARC3-FROM M/V,1
2015,1,1,LARC4 SHOPLIFT,2
2015,1,1,LARC4-FROM M/V,1
2015,1,1,LARC4-MACHINE,1
2015,1,1,LOITERING,1
2015,1,1,M/V-THEFT-AUTO,3
2015,1,1,MISSING PERS,1
2015,1,1,NON-INV ACC / SETTLED,1
2015,1,1,OCC-INJ-POLICE,1
2015,1,1,OP MV WO LIC,1
2015,1,1,OP UNDER SUSP,1
2015,1,1,PANHANDLING,1
2015,1,1,PARKING VIOLATION,1
2015,1,1,PD/VEH/ACC/OI*OCC-INJ*,1
2015,1,1,PERS INJ ACC,4
2015,1,1,POSSESS-HEROIN,1
2015,1,1,PRIVATE-ACC,1
2015,1,1,PROP DAM ACC,8
2015,1,1,SHOTS FIRED - UNCONFIRMED,1
2015,1,1,SICK CARE FOR,1
2015,1,1,STANDING COMPLAINT,28
2015,1,1,STOP SIGN,2
2015,1,1,THREATENING,1
2015,1,2,ABANDONED M/V,1
2015,1,2,ANIMAL COMPLNT,1
2015,1,2,ASSAULT 3,2
2015,1,2,ASSLT-1-GUN,1
2015,1,2,ASSLT-1-KNIFE,2
2015,1,2,ASSLT-1-WEAPON,2
2015,1,2,BREACH-PEACE,2
2015,1,2,CASE DRAWN IN ERROR,2
2015,1,2,COMM TENSION;COMM-SERVICE,3
2015,1,2,CR MISCHIEF 3,5
2015,1,2,DIS-CONDUCT,2
2015,1,2,DRUNK DRIVING,2
2015,1,2,FALLS-PRIVATE,2
2015,1,2,IMPROP STARTING,1
2015,1,2,INTFERING W PO,1
2015,1,2,LARC2-FROM M/V,1
2015,1,2,LARC3 SHOPLIFT,1
2015,1,2,LARC3-BUILDING,1
2015,1,2,LARC3-FROM M/V,1
2015,1,2,LARC3-MISCELL,1
2015,1,2,LARC4 SHOPLIFT,1
2015,1,2,LARC4-BUILDING,1
2015,1,2,LARC4-FROM M/V,1
2015,1,2,LARC4-M/V PART-STO-PLATE,2
2015,1,2,LOST/STOLEN PROP,2
2015,1,2,M/V-THEFT-AUTO,1
2015,1,2,MISSING PERS,1
2015,1,2,OCC-INJ-POLICE,1
2015,1,2,OP UNDER SUSP,1
2015,1,2,OP UNREG M/V,2
2015,1,2,PARKING VIOLATION,1
2015,1,2,PER INJ ACC,1
2015,1,2,PERS INJ ACC,5
2015,1,2,PROP DAM ACC,17
2015,1,2,RISK OF INJURY,1
2015,1,2,ROBBERY-HANDS *STREET*,1
2015,1,2,ROBBERY-WEAPON*STREET*,1
2015,1,2,SHOTS FIRED - UNCONFIRMED,1
2015,1,2,SICK CARE FOR,1
2015,1,2,STANDING COMPLAINT,10
2015,1,2,SUDDEN DEATH,1
2015,1,2,WEAPON IN M/V,1
2015,1,3,ANIMAL COMPLNT,1
2015,1,3,ASSAULT 3,2
2015,1,3,BREACH-PEACE,1
2015,1,3,BURG2-RES-NITE,2
2015,1,3,BURG3-RES-DAY,3
2015,1,3,CASE DRAWN IN ERROR,1
2015,1,3,COMM TENSION;COMM-SERVICE,1
2015,1,3,CR MISCHIEF 3,5
2015,1,3,DIS-CONDUCT,3
2015,1,3,DISABLED PD VEHICLE,1
2015,1,3,EMOTIONALLY DISTURBED,2
2015,1,3,FIRE-M/V,1
2015,1,3,FIRE-RES-OWN-OCC*I,1
2015,1,3,FT DRIVE PROP LANE,1
2015,1,3,KIDNAPPING-2,1
2015,1,3,LARC3-BUILDING,2
2015,1,3,LARC3-FROM M/V,1
2015,1,3,LARC3-MISCELL,1
2015,1,3,LARC4 SHOPLIFT,3
2015,1,3,LARC4-FROM M/V,1
2015,1,3,LARC4-M/V PART-STO-PLATE,1
2015,1,3,M/V-THEFT-AUTO,2
2015,1,3,MISSING PERS,1
2015,1,3,PARKING VIOLATION,3
2015,1,3,PERS INJ ACC,2
2015,1,3,PROP DAM ACC,7
2015,1,3,RADIO SIGNAL,1
2015,1,3,ROBBERY-GUN *STREET*,1
2015,1,3,SHOTS FIRED - UNCONFIRMED,3
2015,1,3,THREATENING,1
2015,1,3,WANTED OUTSIDE,1
2015,1,4,ABANDONED M/V,3
2015,1,4,ANIMAL COMPLNT,2
2015,1,4,ASSLT-2-WEAPON,2
2015,1,4,AUTO-THEFT-REC,1
2015,1,4,BREACH-PEACE,1
2015,1,4,CASE DRAWN IN ERROR,3
2015,1,4,COMM TENSION;COMM-SERVICE,1
2015,1,4,CR MISCHIEF 2,1
2015,1,4,CR MISCHIEF 3,3
2015,1,4,DIS-CONDUCT,4
2015,1,4,DISABLED PRIV VEHICLE,1
2015,1,4,FALSE ALARM,1
2015,1,4,FOUND PROPERTY,2
2015,1,4,INTFERING W PO,3
2015,1,4,LARC1-BUILDING,1
2015,1,4,LARC3 SHOPLIFT,2
2015,1,4,LARC3-M/V PART,1
2015,1,4,LARC3-MISCELL,1
2015,1,4,LARC3-PURSE,1
2015,1,4,LARC4 SHOPLIFT,2
2015,1,4,LARC4-FROM M/V,3
2015,1,4,LOITERING,3
2015,1,4,LOST/STOLEN PROP,3
2015,1,4,M/V-THEFT-AUTO,1
2015,1,4,NON-INV ACC / SETTLED,1
2015,1,4,OCC-INJ-POLICE,2
2015,1,4,OP MV WO LIC,2
2015,1,4,OP UNDER SUSP,2
2015,1,4,OP UNREG M/V,3
2015,1,4,PARKING VIOLATION,9
2015,1,4,PERS INJ ACC,6
2015,1,4,PLOYGRAPH - ADMIN,3
2015,1,4,POSSESS-COCAINE,1
2015,1,4,POSSESS-HEROIN,1
2015,1,4,PROP DAM ACC,26
2015,1,4,ROBBERY-HANDS *STREET*,1
2015,1,4,SHOTS FIRED - UNCONFIRMED,2
2015,1,4,SICK CARE FOR,1
2015,1,4,STANDING COMPLAINT,25
2015,1,4,STOP SIGN,1
2015,1,4,USE MV WO PERM,1
2015,1,4,WANTED OUTSIDE,6
2015,1,5,ABANDONED M/V,6
2015,1,5,ANIMAL BITE,1
2015,1,5,ANIMAL COMPLNT,8
2015,1,5,ASSAULT 3,1
2015,1,5,ASSLT-1-GUN,2
2015,1,5,ASSLT-2-HANDS,1
2015,1,5,BREACH-PEACE,2
2015,1,5,BURG3-RES-DAY,2
2015,1,5,CASE DRAWN IN ERROR,2
2015,1,5,COMM TENSION;COMM-SERVICE,2
2015,1,5,CR MISCHIEF 2,2
2015,1,5,CR MISCHIEF 3,5
2015,1,5,DOG LAWS-MISC,1
2015,1,5,EMOTIONALLY DISTURBED,2
2015,1,5,FOUND PROPERTY,1
2015,1,5,HARRASSMENT,1
2015,1,5,INTFERING W PO,2
2015,1,5,LARC3 SHOPLIFT,1
2015,1,5,LARC3-FROM M/V,2
2015,1,5,LARC3-MISCELL,2
2015,1,5,LARC4-FROM M/V,1
2015,1,5,LARC4-M/V PART-STO-PLATE,1
2015,1,5,LOITERING,1
2015,1,5,LOST/STOLEN PROP,3
2015,1,5,M/V-THEFT-AUTO,3
2015,1,5,MECH SIGNAL,2
2015,1,5,OP UNDER SUSP,1
2015,1,5,OP UNREG M/V,8
2015,1,5,PANHANDLING,1
2015,1,5,PARKING VIOLATION,13
2015,1,5,PERS INJ ACC,4
2015,1,5,PLOYGRAPH - ADMIN,3
2015,1,5,POSSESS-HEROIN,1
2015,1,5,PROP DAM ACC,9
2015,1,5,PUBLIC DRINKING,5
2015,1,5,RADIO SIGNAL,2
2015,1,5,RECK USE BY PED,1
2015,1,5,ROBBERY-GUN *COMMER*,1
2015,1,5,ROBBERY-GUN *STREET*,1
2015,1,5,ROBBERY-INVAS *RESID*,1
2015,1,5,SHOTS FIRED - UNCONFIRMED,2
2015,1,5,SKELETON REPORT,1
2015,1,5,STANDING COMPLAINT,19
2015,1,5,THREATENING,5
2015,1,5,TOBACCO-SALE TO MINOR,6
2015,1,5,WANTED OUTSIDE,4
2015,1,6,ABANDONED M/V,2
2015,1,6,ANIMAL COMPLNT,5
2015,1,6,ASSAULT 3,4
2015,1,6,ASSLT-1-GUN,1
2015,1,6,ASSLT-1-KNIFE,1
2015,1,6,ASSLT-PO-HANDS,1
2015,1,6,BREACH-PEACE,1
2015,1,6,BURG3-NITE-ATT-COMM,1
2015,1,6,CASE DRAWN IN ERROR,2
2015,1,6,COMM TENSION;COMM-SERVICE,2
2015,1,6,CR MISCHIEF 1,1
2015,1,6,CR MISCHIEF 3,6
2015,1,6,DIS-CONDUCT,3
2015,1,6,DOG LAWS-MISC,1
2015,1,6,EMOTIONALLY DISTURBED,3
2015,1,6,FIRE-RES-OTHER*I IN APT,1
2015,1,6,FOUND PERSON,2
2015,1,6,FOUND PROPERTY,2
2015,1,6,HARRASSMENT,1
2015,1,6,LARC2-FROM M/V,1
2015,1,6,LARC3-FROM M/V,1
2015,1,6,LARC3-M/V PART,1
2015,1,6,LARC4 SHOPLIFT,1
2015,1,6,LARC4-BUILDING,1
2015,1,6,LARC4-FROM M/V,3
2015,1,6,LARC4-M/V PART-STO-PLATE,1
2015,1,6,LARC4-OTHERS/CHECKS,1
2015,1,6,MISC WANTS,1
2015,1,6,MISSING PERS,2
2015,1,6,OCC-INJ-POLICE,2
2015,1,6,OP MV WO LIC,1
2015,1,6,OP UNDER SUSP,1
2015,1,6,OP UNREG M/V,4
2015,1,6,PARKING VIOLATION,7
2015,1,6,PERS INJ ACC,2
2015,1,6,PLOYGRAPH - ADMIN,2
2015,1,6,POSSESS-HEROIN,1
2015,1,6,POSSESS-MARIJ,1
2015,1,6,PROP DAM ACC,13
2015,1,6,RADIO SIGNAL,1
2015,1,6,STANDING COMPLAINT,3
2015,1,6,THREATENING,1
2015,1,6,USE MV WO PERM,1
2015,1,6,WANTED OUTSIDE,1
2015,1,7,ANIMAL COMPLNT,7
2015,1,7,BREACH-PEACE,1
2015,1,7,BURG3-COM-DAY,1
2015,1,7,BURG3-RES-DAY,3
2015,1,7,CASE DRAWN IN ERROR,1
2015,1,7,CITY ORDINANCE,2
2015,1,7,COMM TENSION;COMM-SERVICE,3
2015,1,7,CONTEMPT COURT/PROT-ORD,2
2015,1,7,CR MISCHIEF 3,4
2015,1,7,CR TRESPASS 3,2
2015,1,7,DIS-CONDUCT,1
2015,1,7,DRUGS FATAL OVERDOSE-ACCI,1
2015,1,7,EMOTIONALLY DISTURBED,2
2015,1,7,FALLS-PRIVATE,1
2015,1,7,HARRASSMENT,1
2015,1,7,HAZARDOUS CONDITION,1
2015,1,7,INTFERING W PO,1
2015,1,7,LARC3-BUILDING,2
2015,1,7,LARC3-M/V PART,1
2015,1,7,LARC3M/V PART,1
2015,1,7,LARC4 SHOPLIFT,3
2015,1,7,LARC4-FROM M/V,1
2015,1,7,LARC4-OTHERS/CHECKS,1
2015,1,7,LARC4-REC-POSS-STO-PL/ARR,1
2015,1,7,LITTERING-HWY,1
2015,1,7,LOITERING,1
2015,1,7,LOST/STOLEN PROP,1
2015,1,7,M/V-THEFT-AUTO,1
