year,month,day,metric,count
2017,12,12,Federal Tax Deposits::Classification::Withheld Income and Employment Taxes,2667
2017,12,12,Federal Tax Deposits::Classification::Individual Income Taxes,143
2017,12,12,Federal Tax Deposits::Classification::Railroad Retirement Taxes,1
2017,12,12,Federal Tax Deposits::Classification::Excise Taxes,373
2017,12,12,Federal Tax Deposits::Classification::Corporation Income Taxes,1909
2017,12,12,Federal Tax Deposits::Classification::Federal Unemployment Taxes,1
2017,12,12,Federal Tax Deposits::Classification::Estate and Gift Taxes & Misc IRS Rcpts.,1
2017,12,12,Federal Tax Deposits::Classification::Total,5095
2017,12,12,Federal Tax Deposits::Classification::Cash Federal Tax Deposits::Direct,32
2017,12,12,Federal Tax Deposits::Classification::Cash Federal Tax Deposits::Through Depositaries,4987
2017,12,12,Federal Tax Deposits::Classification::Cash Federal Tax Deposits::Total Cash FTD's,5019
2017,12,12,Federal Tax Deposits::Classification::Inter-agency Transfers,76
2017,12,12,Federal Tax Deposits::Classification::Total,5095
