year,month,day,metric,count
2017,12,20,Public Debt Transactions::Issues::Marketable::Bills::Regular Series,0
2017,12,20,Public Debt Transactions::Issues::Marketable::Bills::Cash Management Series,0
2017,12,20,Public Debt Transactions::Issues::Marketable::Notes,0
2017,12,20,Public Debt Transactions::Issues::Marketable::Bonds,0
2017,12,20,Public Debt Transactions::Issues::Marketable::Inflation-Protected Securities Increment,-25
2017,12,20,Public Debt Transactions::Issues::Marketable::Federal Financing Bank,0
2017,12,20,Public Debt Transactions::Issues::Nonmarketable::United States Savings Securities::Cash Issue Price,3
2017,12,20,Public Debt Transactions::Issues::Nonmarketable::United States Savings Securities::Interest Increment,1
2017,12,20,Public Debt Transactions::Issues::Nonmarketable::Government Account Series,322081
2017,12,20,Public Debt Transactions::Issues::Nonmarketable::Hope Bonds,0
2017,12,20,Public Debt Transactions::Issues::Nonmarketable::Domestic Series,0
2017,12,20,Public Debt Transactions::Issues::Nonmarketable::Foreign Series,0
2017,12,20,Public Debt Transactions::Issues::Nonmarketable::State and Local Series,1760
2017,12,20,Public Debt Transactions::Issues::Nonmarketable::Other,730
2017,12,20,Public Debt Transactions::Issues::Total Issues,324549
