year,month,day,metric,count
2017,12,29,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Agriculture Loan Repayments (misc),215
2017,12,29,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Air Transport Security Fees,245
2017,12,29,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Cash FTD's Received (Table IV),19322
2017,12,29,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Commodity Credit Corporation programs,39
2017,12,29,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Customs and Certain Excise Taxes,114
2017,12,29,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Deposits by States::Supplemental Security Income,5
2017,12,29,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Deposits by States::Unemployment,10
2017,12,29,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Education Department programs,194
2017,12,29,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Energy Department programs,58
2017,12,29,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Estate and Gift Taxes,255
2017,12,29,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Federal Reserve Earnings,0
2017,12,29,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Foreign Military Sales Program,114
2017,12,29,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Housing and Urban Development programs,10
2017,12,29,"Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Individual Income and Employment Taxes, Not Withheld",689
2017,12,29,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Interest recd from cash investments,0
2017,12,29,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Justice Department programs,17
2017,12,29,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Postal Service,301
2017,12,29,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Public Debt Cash Issues (Table III-B),27818
2017,12,29,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Other Deposits::Deposit Insurance Fund,2773
2017,12,29,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Other Deposits::Federal Housing Admin: Note Sales,57
2017,12,29,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Other Deposits::GSE Dividends,2898
2017,12,29,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Other Deposits::Medicare Premiums,314
2017,12,29,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Other Deposits::Minerals Management Svc/Collections,213
2017,12,29,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Other Deposits::Thrift Savings Plan Transfer,88
2017,12,29,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Other Deposits::Total Other Deposits,6343
2017,12,29,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Change in Balance of Uncollected Funds,0
2017,12,29,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Transfers from Depositaries,0
2017,12,29,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Total Federal Reserve Account,55747
2017,12,29,Deposits and Withdrawals of Operating Cash::Deposits::Short-Term Cash Investments::Transfers from Federal Reserve Account (Table V),0
2017,12,29,Deposits and Withdrawals of Operating Cash::Deposits::Total Deposits (excluding transfers),55747
