date,jobs
2016-01-03,100
2016-01-10,89
2016-01-17,89
2016-01-24,88
2016-01-31,83
2016-02-07,78
2016-02-14,79
2016-02-21,83
2016-02-28,82
2016-03-06,81
2016-03-13,80
2016-03-20,82
2016-03-27,85
2016-04-03,82
2016-04-10,82
2016-04-17,80
2016-04-24,80
2016-05-01,83
2016-05-08,86
2016-05-15,89
2016-05-22,85
2016-05-29,85
2016-06-05,88
2016-06-12,87
2016-06-19,90
2016-06-26,87
2016-07-03,86
2016-07-10,90
2016-07-17,89
2016-07-24,91
2016-07-31,89
2016-08-07,89
2016-08-14,90
2016-08-21,88
2016-08-28,83
2016-09-04,81
2016-09-11,81
2016-09-18,81
2016-09-25,82
2016-10-02,79
2016-10-09,76
2016-10-16,78
2016-10-23,78
2016-10-30,75
2016-11-06,72
2016-11-13,77
2016-11-20,59
2016-11-27,75
2016-12-04,71
2016-12-11,66
2016-12-18,58
2016-12-25,63
2017-01-01,85
2017-01-08,85
2017-01-15,82
2017-01-22,84
2017-01-29,83
2017-02-05,79
2017-02-12,76
2017-02-19,78
2017-02-26,78
2017-03-05,79
2017-03-12,74
2017-03-19,77
2017-03-26,80
2017-04-02,81
2017-04-09,80
2017-04-16,81
2017-04-23,81
2017-04-30,81
2017-05-07,83
2017-05-14,61
