year,month,day,category,count
2015,01,01,ARSON,2
2015,01,01,ASSAULT,60
2015,01,01,BURGLARY,12
2015,01,01,DISORDERLY CONDUCT,2
2015,01,01,DRIVING UNDER THE INFLUENCE,2
2015,01,01,DRUG/NARCOTIC,11
2015,01,01,DRUNKENNESS,5
2015,01,01,EMBEZZLEMENT,2
2015,01,01,EXTORTION,1
2015,01,01,FAMILY OFFENSES,1
2015,01,01,FORGERY/COUNTERFEITING,6
2015,01,01,FRAUD,10
2015,01,01,KIDNAPPING,3
2015,01,01,LARCENY/THEFT,119
2015,01,01,LIQUOR LAWS,1
2015,01,01,MISSING PERSON,13
2015,01,01,NON-CRIMINAL,117
2015,01,01,OTHER OFFENSES,66
2015,01,01,RECOVERED VEHICLE,3
2015,01,01,ROBBERY,15
2015,01,01,SECONDARY CODES,7
2015,01,01,"SEX OFFENSES, FORCIBLE",4
2015,01,01,STOLEN PROPERTY,3
2015,01,01,SUSPICIOUS OCC,22
2015,01,01,TRESPASS,6
2015,01,01,VANDALISM,24
2015,01,01,VEHICLE THEFT,18
2015,01,01,WARRANTS,14
2015,01,01,WEAPON LAWS,4
2015,01,02,ASSAULT,26
2015,01,02,BURGLARY,13
2015,01,02,DISORDERLY CONDUCT,2
2015,01,02,DRIVING UNDER THE INFLUENCE,2
2015,01,02,DRUG/NARCOTIC,18
2015,01,02,DRUNKENNESS,1
2015,01,02,EMBEZZLEMENT,2
2015,01,02,FORGERY/COUNTERFEITING,2
2015,01,02,FRAUD,9
2015,01,02,GAMBLING,1
2015,01,02,KIDNAPPING,1
2015,01,02,LARCENY/THEFT,142
2015,01,02,MISSING PERSON,12
2015,01,02,NON-CRIMINAL,46
2015,01,02,OTHER OFFENSES,52
2015,01,02,RECOVERED VEHICLE,2
2015,01,02,ROBBERY,7
2015,01,02,RUNAWAY,1
2015,01,02,SECONDARY CODES,2
2015,01,02,"SEX OFFENSES, FORCIBLE",4
2015,01,02,STOLEN PROPERTY,1
2015,01,02,SUSPICIOUS OCC,16
2015,01,02,TRESPASS,2
2015,01,02,VANDALISM,20
2015,01,02,VEHICLE THEFT,22
2015,01,02,WARRANTS,23
2015,01,02,WEAPON LAWS,4
2015,01,03,ARSON,3
2015,01,03,ASSAULT,30
2015,01,03,BURGLARY,17
2015,01,03,DRIVING UNDER THE INFLUENCE,2
2015,01,03,DRUG/NARCOTIC,16
2015,01,03,DRUNKENNESS,5
2015,01,03,EMBEZZLEMENT,1
2015,01,03,FORGERY/COUNTERFEITING,2
2015,01,03,FRAUD,6
2015,01,03,KIDNAPPING,1
2015,01,03,LARCENY/THEFT,140
2015,01,03,LIQUOR LAWS,1
2015,01,03,MISSING PERSON,16
2015,01,03,NON-CRIMINAL,56
2015,01,03,OTHER OFFENSES,61
2015,01,03,RECOVERED VEHICLE,1
2015,01,03,ROBBERY,11
2015,01,03,RUNAWAY,1
2015,01,03,SECONDARY CODES,9
2015,01,03,"SEX OFFENSES, FORCIBLE",2
2015,01,03,STOLEN PROPERTY,2
2015,01,03,SUSPICIOUS OCC,9
2015,01,03,TRESPASS,3
2015,01,03,VANDALISM,18
2015,01,03,VEHICLE THEFT,12
2015,01,03,WARRANTS,15
2015,01,03,WEAPON LAWS,4
2015,01,04,ARSON,1
2015,01,04,ASSAULT,37
2015,01,04,BURGLARY,12
2015,01,04,DRIVING UNDER THE INFLUENCE,2
2015,01,04,DRUG/NARCOTIC,10
2015,01,04,DRUNKENNESS,1
2015,01,04,FORGERY/COUNTERFEITING,1
2015,01,04,FRAUD,7
2015,01,04,LARCENY/THEFT,97
2015,01,04,MISSING PERSON,13
2015,01,04,NON-CRIMINAL,39
2015,01,04,OTHER OFFENSES,53
2015,01,04,ROBBERY,10
2015,01,04,"SEX OFFENSES, FORCIBLE",1
2015,01,04,SUICIDE,1
2015,01,04,SUSPICIOUS OCC,12
2015,01,04,TRESPASS,1
2015,01,04,VANDALISM,8
2015,01,04,VEHICLE THEFT,12
2015,01,04,WARRANTS,15
2015,01,04,WEAPON LAWS,2
2015,01,05,ARSON,4
2015,01,05,ASSAULT,39
2015,01,05,BURGLARY,18
2015,01,05,DISORDERLY CONDUCT,3
2015,01,05,DRIVING UNDER THE INFLUENCE,1
2015,01,05,DRUG/NARCOTIC,20
2015,01,05,DRUNKENNESS,1
2015,01,05,FORGERY/COUNTERFEITING,5
2015,01,05,FRAUD,16
2015,01,05,KIDNAPPING,1
2015,01,05,LARCENY/THEFT,113
2015,01,05,MISSING PERSON,8
2015,01,05,NON-CRIMINAL,60
2015,01,05,OTHER OFFENSES,59
2015,01,05,RECOVERED VEHICLE,6
2015,01,05,ROBBERY,10
2015,01,05,SECONDARY CODES,9
2015,01,05,"SEX OFFENSES, FORCIBLE",7
2015,01,05,STOLEN PROPERTY,3
2015,01,05,SUICIDE,1
2015,01,05,SUSPICIOUS OCC,14
2015,01,05,TRESPASS,4
2015,01,05,VANDALISM,18
2015,01,05,VEHICLE THEFT,22
2015,01,05,WARRANTS,13
2015,01,05,WEAPON LAWS,5
2015,01,06,ARSON,2
2015,01,06,ASSAULT,22
2015,01,06,BURGLARY,9
2015,01,06,DRUG/NARCOTIC,13
2015,01,06,DRUNKENNESS,1
2015,01,06,FORGERY/COUNTERFEITING,3
2015,01,06,FRAUD,15
2015,01,06,LARCENY/THEFT,118
2015,01,06,MISSING PERSON,14
2015,01,06,NON-CRIMINAL,66
2015,01,06,OTHER OFFENSES,51
2015,01,06,RECOVERED VEHICLE,5
2015,01,06,ROBBERY,12
2015,01,06,SECONDARY CODES,5
2015,01,06,"SEX OFFENSES, FORCIBLE",2
