year,month,day,metric,count
2017,1,1,AGG. ASSAULT,23
2017,1,1,ASSAULT BY THREAT,1
2017,1,1,AUTO THEFT,10
2017,1,1,BURGLARY,17
2017,1,1,COMMON ASSAULT,23
2017,1,1,HOMICIDE,2
2017,1,1,LARCENY,19
2017,1,1,LARCENY FROM AUTO,9
2017,1,1,RAPE,2
2017,1,1,ROBBERY - CARJACKING,2
2017,1,1,ROBBERY - STREET,13
2017,1,1,SHOOTING,2
2017,1,2,AGG. ASSAULT,11
2017,1,2,AUTO THEFT,24
2017,1,2,BURGLARY,23
2017,1,2,COMMON ASSAULT,16
2017,1,2,LARCENY,24
2017,1,2,LARCENY FROM AUTO,17
2017,1,2,RAPE,1
2017,1,2,ROBBERY - CARJACKING,1
2017,1,2,ROBBERY - COMMERCIAL,4
2017,1,2,ROBBERY - RESIDENCE,2
2017,1,2,ROBBERY - STREET,12
2017,1,2,SHOOTING,1
2017,1,3,AGG. ASSAULT,13
2017,1,3,ARSON,3
2017,1,3,ASSAULT BY THREAT,1
2017,1,3,AUTO THEFT,12
2017,1,3,BURGLARY,25
2017,1,3,COMMON ASSAULT,11
2017,1,3,HOMICIDE,1
2017,1,3,LARCENY,26
2017,1,3,LARCENY FROM AUTO,18
2017,1,3,RAPE,2
2017,1,3,ROBBERY - COMMERCIAL,1
2017,1,3,ROBBERY - STREET,9
2017,1,3,SHOOTING,2
2017,1,4,AGG. ASSAULT,14
2017,1,4,AUTO THEFT,19
2017,1,4,BURGLARY,25
2017,1,4,COMMON ASSAULT,20
2017,1,4,HOMICIDE,2
2017,1,4,LARCENY,28
2017,1,4,LARCENY FROM AUTO,11
2017,1,4,ROBBERY - CARJACKING,3
2017,1,4,ROBBERY - COMMERCIAL,4
2017,1,4,ROBBERY - RESIDENCE,1
2017,1,4,ROBBERY - STREET,6
2017,1,5,AGG. ASSAULT,6
2017,1,5,ASSAULT BY THREAT,2
2017,1,5,AUTO THEFT,12
2017,1,5,BURGLARY,27
2017,1,5,COMMON ASSAULT,30
2017,1,5,LARCENY,26
2017,1,5,LARCENY FROM AUTO,16
2017,1,5,ROBBERY - CARJACKING,1
2017,1,5,ROBBERY - COMMERCIAL,3
2017,1,5,ROBBERY - RESIDENCE,1
