year,month,day,metric,count
2016,1,1,ARSON,1
2016,1,1,ASSAULT,42
2016,1,1,BATTERY,228
2016,1,1,BURGLARY,14
2016,1,1,CRIM SEXUAL ASSAULT,21
2016,1,1,CRIMINAL DAMAGE,111
2016,1,1,CRIMINAL TRESPASS,8
2016,1,1,DECEPTIVE PRACTICE,114
2016,1,1,HOMICIDE,3
2016,1,1,INTERFERENCE WITH PUBLIC OFFICER,2
2016,1,1,INTIMIDATION,1
2016,1,1,KIDNAPPING,1
2016,1,1,MOTOR VEHICLE THEFT,28
2016,1,1,NARCOTICS,20
2016,1,1,OBSCENITY,3
2016,1,1,OFFENSE INVOLVING CHILDREN,69
2016,1,1,OTHER OFFENSE,64
2016,1,1,PUBLIC PEACE VIOLATION,3
2016,1,1,ROBBERY,24
2016,1,1,SEX OFFENSE,32
2016,1,1,THEFT,127
2016,1,1,WEAPONS VIOLATION,7
2016,1,2,ASSAULT,32
2016,1,2,BATTERY,101
2016,1,2,BURGLARY,33
2016,1,2,CRIM SEXUAL ASSAULT,6
2016,1,2,CRIMINAL DAMAGE,78
2016,1,2,CRIMINAL TRESPASS,9
2016,1,2,DECEPTIVE PRACTICE,41
2016,1,2,INTERFERENCE WITH PUBLIC OFFICER,1
2016,1,2,KIDNAPPING,1
2016,1,2,LIQUOR LAW VIOLATION,2
2016,1,2,MOTOR VEHICLE THEFT,29
2016,1,2,NARCOTICS,29
2016,1,2,OFFENSE INVOLVING CHILDREN,5
2016,1,2,OTHER OFFENSE,41
2016,1,2,PROSTITUTION,1
2016,1,2,PUBLIC PEACE VIOLATION,6
2016,1,2,ROBBERY,22
2016,1,2,SEX OFFENSE,2
2016,1,2,THEFT,131
2016,1,2,WEAPONS VIOLATION,2
2016,1,3,ARSON,1
2016,1,3,ASSAULT,39
2016,1,3,BATTERY,124
2016,1,3,BURGLARY,24
2016,1,3,CRIM SEXUAL ASSAULT,1
2016,1,3,CRIMINAL DAMAGE,81
2016,1,3,CRIMINAL TRESPASS,16
2016,1,3,DECEPTIVE PRACTICE,29
