year,month,day,metric,count
2016,1,1,Aggravated Assault Firearm,4
2016,1,1,Aggravated Assault No Firearm,10
2016,1,1,All Other Offenses,28
2016,1,1,Arson,1
2016,1,1,Burglary Non-Residential,2
2016,1,1,Burglary Residential,9
2016,1,1,DRIVING UNDER THE INFLUENCE,25
2016,1,1,Disorderly Conduct,8
2016,1,1,Fraud,13
2016,1,1,Liquor Law Violations,3
2016,1,1,Motor Vehicle Theft,4
2016,1,1,Narcotic / Drug Law Violations,8
2016,1,1,Other Assaults,62
2016,1,1,Other Sex Offenses (Not Commercialized),2
2016,1,1,Public Drunkenness,3
2016,1,1,Rape,1
2016,1,1,Recovered Stolen Motor Vehicle,20
2016,1,1,Robbery Firearm,7
2016,1,1,Robbery No Firearm,6
2016,1,1,Theft from Vehicle,26
2016,1,1,Thefts,31
2016,1,1,Vandalism/Criminal Mischief,50
2016,1,1,Weapon Violations,6
2016,1,2,Aggravated Assault Firearm,3
2016,1,2,Aggravated Assault No Firearm,20
2016,1,2,All Other Offenses,62
2016,1,2,Burglary Non-Residential,4
2016,1,2,Burglary Residential,13
2016,1,2,DRIVING UNDER THE INFLUENCE,13
2016,1,2,Disorderly Conduct,11
2016,1,2,Embezzlement,1
2016,1,2,Forgery and Counterfeiting,1
2016,1,2,Fraud,17
2016,1,2,Homicide - Criminal,1
2016,1,2,Liquor Law Violations,1
2016,1,2,Motor Vehicle Theft,6
2016,1,2,Narcotic / Drug Law Violations,32
2016,1,2,Other Assaults,49
2016,1,2,Other Sex Offenses (Not Commercialized),1
2016,1,2,Public Drunkenness,2
2016,1,2,Rape,1
2016,1,2,Recovered Stolen Motor Vehicle,22
2016,1,2,Robbery Firearm,6
2016,1,2,Robbery No Firearm,6
2016,1,2,Theft from Vehicle,35
2016,1,2,Thefts,58
2016,1,2,Vagrancy/Loitering,2
2016,1,2,Vandalism/Criminal Mischief,45
2016,1,2,Weapon Violations,5
2016,1,3,Aggravated Assault Firearm,5
2016,1,3,Aggravated Assault No Firearm,13
2016,1,3,All Other Offenses,46
2016,1,3,Burglary Non-Residential,7
2016,1,3,Burglary Residential,17
2016,1,3,DRIVING UNDER THE INFLUENCE,14
2016,1,3,Disorderly Conduct,5
2016,1,3,Fraud,18
2016,1,3,Homicide - Criminal,3
2016,1,3,Liquor Law Violations,1
2016,1,3,Motor Vehicle Theft,1
2016,1,3,Narcotic / Drug Law Violations,7
2016,1,3,Other Assaults,33
2016,1,3,Other Sex Offenses (Not Commercialized),1
2016,1,3,Public Drunkenness,2
