year,month,day,metric,count
2017,1,1,Aggravated Assault Firearm,10
2017,1,1,Aggravated Assault No Firearm,22
2017,1,1,All Other Offenses,28
2017,1,1,Arson,3
2017,1,1,Burglary Non-Residential,6
2017,1,1,Burglary Residential,17
2017,1,1,DRIVING UNDER THE INFLUENCE,18
2017,1,1,Disorderly Conduct,4
2017,1,1,Embezzlement,1
2017,1,1,Fraud,17
2017,1,1,Homicide - Criminal,1
2017,1,1,Liquor Law Violations,3
2017,1,1,Motor Vehicle Theft,3
2017,1,1,Narcotic / Drug Law Violations,8
2017,1,1,Other Assaults,61
2017,1,1,Other Sex Offenses (Not Commercialized),4
2017,1,1,Rape,1
2017,1,1,Recovered Stolen Motor Vehicle,12
2017,1,1,Robbery Firearm,6
2017,1,1,Robbery No Firearm,13
2017,1,1,Theft from Vehicle,22
2017,1,1,Thefts,29
2017,1,1,Vandalism/Criminal Mischief,54
2017,1,1,Weapon Violations,8
2017,1,2,Aggravated Assault Firearm,5
2017,1,2,Aggravated Assault No Firearm,17
2017,1,2,All Other Offenses,58
2017,1,2,Arson,3
2017,1,2,Burglary Non-Residential,5
2017,1,2,Burglary Residential,17
2017,1,2,DRIVING UNDER THE INFLUENCE,8
2017,1,2,Disorderly Conduct,1
2017,1,2,Forgery and Counterfeiting,1
2017,1,2,Fraud,14
2017,1,2,Homicide - Criminal,1
2017,1,2,Motor Vehicle Theft,6
2017,1,2,Narcotic / Drug Law Violations,14
2017,1,2,Other Assaults,45
2017,1,2,Other Sex Offenses (Not Commercialized),3
2017,1,2,Rape,2
2017,1,2,Recovered Stolen Motor Vehicle,28
2017,1,2,Robbery Firearm,12
2017,1,2,Robbery No Firearm,12
2017,1,2,Theft from Vehicle,30
2017,1,2,Thefts,43
2017,1,2,Vandalism/Criminal Mischief,34
2017,1,2,Weapon Violations,5
2017,1,3,Aggravated Assault Firearm,5
2017,1,3,Aggravated Assault No Firearm,12
2017,1,3,All Other Offenses,56
2017,1,3,Arson,2
2017,1,3,Burglary Non-Residential,5
2017,1,3,Burglary Residential,23
2017,1,3,DRIVING UNDER THE INFLUENCE,10
2017,1,3,Disorderly Conduct,3
2017,1,3,Forgery and Counterfeiting,2
2017,1,3,Fraud,38
2017,1,3,Homicide - Criminal,1
2017,1,3,Motor Vehicle Theft,5
2017,1,3,Narcotic / Drug Law Violations,35
2017,1,3,Other Assaults,68
2017,1,3,Other Sex Offenses (Not Commercialized),3
2017,1,3,Prostitution and Commercialized Vice,6
2017,1,3,Rape,5
2017,1,3,Recovered Stolen Motor Vehicle,25
2017,1,3,Robbery Firearm,9
2017,1,3,Robbery No Firearm,4
2017,1,3,Theft from Vehicle,35
2017,1,3,Thefts,63
2017,1,3,Vandalism/Criminal Mischief,42
2017,1,3,Weapon Violations,4
2017,1,4,Aggravated Assault Firearm,5
2017,1,4,Aggravated Assault No Firearm,12
2017,1,4,All Other Offenses,69
2017,1,4,Arson,3
2017,1,4,Burglary Non-Residential,4
2017,1,4,Burglary Residential,12
2017,1,4,DRIVING UNDER THE INFLUENCE,6
2017,1,4,Disorderly Conduct,1
2017,1,4,Embezzlement,1
2017,1,4,Forgery and Counterfeiting,1
2017,1,4,Fraud,35
2017,1,4,Gambling Violations,1
2017,1,4,Homicide - Criminal,1
2017,1,4,Motor Vehicle Theft,7
2017,1,4,Narcotic / Drug Law Violations,20
2017,1,4,Other Assaults,83
2017,1,4,Other Sex Offenses (Not Commercialized),2
2017,1,4,Prostitution and Commercialized Vice,1
2017,1,4,Rape,5
2017,1,4,Recovered Stolen Motor Vehicle,19
2017,1,4,Robbery Firearm,15
2017,1,4,Robbery No Firearm,9
2017,1,4,Theft from Vehicle,43
2017,1,4,Thefts,64
2017,1,4,Vandalism/Criminal Mischief,40
2017,1,4,Weapon Violations,9
2017,1,5,Aggravated Assault Firearm,10
2017,1,5,Aggravated Assault No Firearm,15
2017,1,5,All Other Offenses,63
2017,1,5,Arson,3
2017,1,5,Burglary Non-Residential,3
2017,1,5,Burglary Residential,14
2017,1,5,DRIVING UNDER THE INFLUENCE,9
2017,1,5,Fraud,40
2017,1,5,Homicide - Criminal,1
2017,1,5,Motor Vehicle Theft,3
2017,1,5,Narcotic / Drug Law Violations,37
2017,1,5,Other Assaults,68
2017,1,5,Prostitution and Commercialized Vice,1
2017,1,5,Rape,6
2017,1,5,Receiving Stolen Property,1
2017,1,5,Recovered Stolen Motor Vehicle,12
2017,1,5,Robbery Firearm,3
2017,1,5,Robbery No Firearm,6
2017,1,5,Theft from Vehicle,30
2017,1,5,Thefts,42
2017,1,5,Vandalism/Criminal Mischief,28
2017,1,5,Weapon Violations,6
2017,1,6,Aggravated Assault Firearm,3
2017,1,6,Aggravated Assault No Firearm,16
2017,1,6,All Other Offenses,76
2017,1,6,Burglary Non-Residential,5
2017,1,6,Burglary Residential,20
2017,1,6,DRIVING UNDER THE INFLUENCE,8
2017,1,6,Disorderly Conduct,1
2017,1,6,Embezzlement,3
2017,1,6,Forgery and Counterfeiting,3
2017,1,6,Fraud,32
2017,1,6,Motor Vehicle Theft,6
2017,1,6,Narcotic / Drug Law Violations,25
2017,1,6,Offenses Against Family and Children,1
2017,1,6,Other Assaults,60
2017,1,6,Other Sex Offenses (Not Commercialized),2
2017,1,6,Prostitution and Commercialized Vice,3
2017,1,6,Rape,2
2017,1,6,Recovered Stolen Motor Vehicle,19
2017,1,6,Robbery Firearm,8
2017,1,6,Robbery No Firearm,6
2017,1,6,Theft from Vehicle,27
2017,1,6,Thefts,57
2017,1,6,Vandalism/Criminal Mischief,30
2017,1,6,Weapon Violations,12
2017,1,7,Aggravated Assault Firearm,3
2017,1,7,Aggravated Assault No Firearm,11
2017,1,7,All Other Offenses,35
2017,1,7,Arson,4
2017,1,7,Burglary Non-Residential,3
2017,1,7,Burglary Residential,7
2017,1,7,DRIVING UNDER THE INFLUENCE,8
2017,1,7,Fraud,17
2017,1,7,Homicide - Criminal,3
2017,1,7,Motor Vehicle Theft,4
2017,1,7,Narcotic / Drug Law Violations,9
2017,1,7,Other Assaults,36
2017,1,7,Prostitution and Commercialized Vice,2
2017,1,7,Recovered Stolen Motor Vehicle,13
2017,1,7,Robbery Firearm,9
2017,1,7,Robbery No Firearm,7
2017,1,7,Theft from Vehicle,20
2017,1,7,Thefts,39
2017,1,7,Vandalism/Criminal Mischief,26
2017,1,7,Weapon Violations,3
2017,1,8,Aggravated Assault Firearm,6
2017,1,8,Aggravated Assault No Firearm,10
2017,1,8,All Other Offenses,37
2017,1,8,Burglary Non-Residential,4
2017,1,8,Burglary Residential,11
2017,1,8,DRIVING UNDER THE INFLUENCE,6
2017,1,8,Disorderly Conduct,1
2017,1,8,Fraud,9
2017,1,8,Motor Vehicle Theft,5
2017,1,8,Narcotic / Drug Law Violations,5
2017,1,8,Other Assaults,47
2017,1,8,Other Sex Offenses (Not Commercialized),2
2017,1,8,Rape,1
2017,1,8,Receiving Stolen Property,1
2017,1,8,Recovered Stolen Motor Vehicle,14
2017,1,8,Robbery Firearm,7
2017,1,8,Robbery No Firearm,4
2017,1,8,Theft from Vehicle,27
2017,1,8,Thefts,38
2017,1,8,Vandalism/Criminal Mischief,30
2017,1,9,Aggravated Assault Firearm,3
2017,1,9,Aggravated Assault No Firearm,14
2017,1,9,All Other Offenses,58
2017,1,9,Burglary Non-Residential,3
2017,1,9,Burglary Residential,10
2017,1,9,DRIVING UNDER THE INFLUENCE,9
2017,1,9,Disorderly Conduct,1
2017,1,9,Embezzlement,1
2017,1,9,Fraud,41
2017,1,9,Homicide - Criminal,2
2017,1,9,Motor Vehicle Theft,5
2017,1,9,Narcotic / Drug Law Violations,17
2017,1,9,Offenses Against Family and Children,2
2017,1,9,Other Assaults,62
2017,1,9,Other Sex Offenses (Not Commercialized),2
2017,1,9,Prostitution and Commercialized Vice,1
2017,1,9,Public Drunkenness,1
2017,1,9,Rape,3
2017,1,9,Recovered Stolen Motor Vehicle,24
2017,1,9,Robbery Firearm,11
2017,1,9,Robbery No Firearm,11
2017,1,9,Theft from Vehicle,25
2017,1,9,Thefts,56
2017,1,9,Vandalism/Criminal Mischief,17
2017,1,9,Weapon Violations,5
2017,1,10,Aggravated Assault Firearm,7
2017,1,10,Aggravated Assault No Firearm,13
2017,1,10,All Other Offenses,61
2017,1,10,Burglary Non-Residential,2
2017,1,10,Burglary Residential,16
2017,1,10,DRIVING UNDER THE INFLUENCE,3
2017,1,10,Disorderly Conduct,2
2017,1,10,Embezzlement,1
2017,1,10,Fraud,27
2017,1,10,Motor Vehicle Theft,2
2017,1,10,Narcotic / Drug Law Violations,33
2017,1,10,Offenses Against Family and Children,1
2017,1,10,Other Assaults,53
2017,1,10,Other Sex Offenses (Not Commercialized),5
2017,1,10,Prostitution and Commercialized Vice,1
2017,1,10,Rape,2
2017,1,10,Recovered Stolen Motor Vehicle,22
2017,1,10,Robbery Firearm,12
2017,1,10,Robbery No Firearm,8
2017,1,10,Theft from Vehicle,31
2017,1,10,Thefts,64
2017,1,10,Vandalism/Criminal Mischief,22
2017,1,10,Weapon Violations,7
2017,1,11,Aggravated Assault Firearm,6
2017,1,11,Aggravated Assault No Firearm,16
2017,1,11,All Other Offenses,92
2017,1,11,Burglary Non-Residential,2
2017,1,11,Burglary Residential,10
2017,1,11,DRIVING UNDER THE INFLUENCE,4
2017,1,11,Disorderly Conduct,2
2017,1,11,Forgery and Counterfeiting,1
2017,1,11,Fraud,29
2017,1,11,Homicide - Criminal,1
2017,1,11,Motor Vehicle Theft,2
2017,1,11,Narcotic / Drug Law Violations,45
2017,1,11,Other Assaults,57
2017,1,11,Other Sex Offenses (Not Commercialized),3
2017,1,11,Prostitution and Commercialized Vice,1
2017,1,11,Public Drunkenness,1
2017,1,11,Rape,3
2017,1,11,Receiving Stolen Property,1
2017,1,11,Recovered Stolen Motor Vehicle,20
