year,msa,offense_category,count
2005.0,"Abilene, TX M.S.A.",aggravated_assault,395.0
2005.0,"Abilene, TX M.S.A.",burglary,1769.0
2005.0,"Abilene, TX M.S.A.",forcible_rape,82.0
2005.0,"Abilene, TX M.S.A.",larceny_theft,4076.0
2005.0,"Abilene, TX M.S.A.",motor_vehicle_theft,351.0
2005.0,"Abilene, TX M.S.A.",murder_and_nonnegligent_manslaughter,7.0
2005.0,"Abilene, TX M.S.A.",robbery,156.0
2005.0,"Aguadilla-Isabela-San Sebastian, Puerto Rico M.S.A.",aggravated_assault,93.0
2005.0,"Aguadilla-Isabela-San Sebastian, Puerto Rico M.S.A.",burglary,817.0
2005.0,"Aguadilla-Isabela-San Sebastian, Puerto Rico M.S.A.",forcible_rape,1.0
2005.0,"Aguadilla-Isabela-San Sebastian, Puerto Rico M.S.A.",larceny_theft,953.0
2005.0,"Aguadilla-Isabela-San Sebastian, Puerto Rico M.S.A.",motor_vehicle_theft,147.0
2005.0,"Aguadilla-Isabela-San Sebastian, Puerto Rico M.S.A.",murder_and_nonnegligent_manslaughter,3.0
2005.0,"Aguadilla-Isabela-San Sebastian, Puerto Rico M.S.A.",robbery,119.0
2005.0,"Akron, OH M.S.A.",aggravated_assault,661.0
2005.0,"Akron, OH M.S.A.",burglary,5873.0
2005.0,"Akron, OH M.S.A.",forcible_rape,325.0
2005.0,"Akron, OH M.S.A.",larceny_theft,17053.0
2005.0,"Akron, OH M.S.A.",motor_vehicle_theft,2085.0
2005.0,"Akron, OH M.S.A.",murder_and_nonnegligent_manslaughter,38.0
2005.0,"Akron, OH M.S.A.",robbery,803.0
2005.0,"Albany-Schenectady-Troy, NY M.S.A.",aggravated_assault,1940.0
2005.0,"Albany-Schenectady-Troy, NY M.S.A.",burglary,4511.0
2005.0,"Albany-Schenectady-Troy, NY M.S.A.",forcible_rape,225.0
2005.0,"Albany-Schenectady-Troy, NY M.S.A.",larceny_theft,16693.0
2005.0,"Albany-Schenectady-Troy, NY M.S.A.",motor_vehicle_theft,1330.0
2005.0,"Albany-Schenectady-Troy, NY M.S.A.",murder_and_nonnegligent_manslaughter,25.0
2005.0,"Albany-Schenectady-Troy, NY M.S.A.",robbery,906.0
2005.0,"Albany, GA M.S.A.",aggravated_assault,332.0
2005.0,"Albany, GA M.S.A.",burglary,2177.0
2005.0,"Albany, GA M.S.A.",forcible_rape,51.0
2005.0,"Albany, GA M.S.A.",larceny_theft,4148.0
2005.0,"Albany, GA M.S.A.",motor_vehicle_theft,410.0
2005.0,"Albany, GA M.S.A.",murder_and_nonnegligent_manslaughter,8.0
2005.0,"Albany, GA M.S.A.",robbery,231.0
2005.0,"Albuquerque, NM M.S.A.",aggravated_assault,4843.0
2005.0,"Albuquerque, NM M.S.A.",burglary,8678.0
2005.0,"Albuquerque, NM M.S.A.",forcible_rape,377.0
2005.0,"Albuquerque, NM M.S.A.",larceny_theft,25055.0
2005.0,"Albuquerque, NM M.S.A.",motor_vehicle_theft,5117.0
2005.0,"Albuquerque, NM M.S.A.",murder_and_nonnegligent_manslaughter,74.0
2005.0,"Albuquerque, NM M.S.A.",robbery,1336.0
2005.0,"Alexandria, LA M.S.A.",aggravated_assault,1177.0
2005.0,"Alexandria, LA M.S.A.",burglary,1792.0
2005.0,"Alexandria, LA M.S.A.",forcible_rape,51.0
