year,footnotes,periodName,period,value,
2016,[{}],December,M12,4.7,
2016,[{}],November,M11,4.6,
2016,[{}],October,M10,4.8,
2016,[{}],September,M09,4.9,
2016,[{}],August,M08,4.9,
2016,[{}],July,M07,4.9,
2016,[{}],June,M06,4.9,
2016,[{}],May,M05,4.7,
2016,[{}],April,M04,5.0,
2016,[{}],March,M03,5.0,
2016,[{}],February,M02,4.9,
2016,[{}],January,M01,4.9,
2015,[{}],December,M12,5.0,
2015,[{}],November,M11,5.0,
2015,[{}],October,M10,5.0,
2015,[{}],September,M09,5.0,
2015,[{}],August,M08,5.1,
2015,[{}],July,M07,5.2,
2015,[{}],June,M06,5.3,
2015,[{}],May,M05,5.5,
2015,[{}],April,M04,5.4,
2015,[{}],March,M03,5.4,
2015,[{}],February,M02,5.5,
2015,[{}],January,M01,5.7,
2014,[{}],December,M12,5.6,
2014,[{}],November,M11,5.8,
2014,[{}],October,M10,5.7,
2014,[{}],September,M09,5.9,
2014,[{}],August,M08,6.2,
2014,[{}],July,M07,6.2,
2014,[{}],June,M06,6.1,
2014,[{}],May,M05,6.3,
2014,[{}],April,M04,6.2,
2014,[{}],March,M03,6.7,
2014,[{}],February,M02,6.7,
2014,[{}],January,M01,6.6,
2013,[{}],December,M12,6.7,
2013,[{}],November,M11,6.9,
2013,[{}],October,M10,7.2,
2013,[{}],September,M09,7.2,
2013,[{}],August,M08,7.3,
2013,[{}],July,M07,7.3,
2013,[{}],June,M06,7.5,
2013,[{}],May,M05,7.5,
2013,[{}],April,M04,7.6,
2013,[{}],March,M03,7.5,
2013,[{}],February,M02,7.7,
2013,[{}],January,M01,8.0,
2012,[{}],December,M12,7.9,
2012,[{}],November,M11,7.7,
2012,[{}],October,M10,7.8,
2012,[{}],September,M09,7.8,
2012,[{}],August,M08,8.1,
2012,[{}],July,M07,8.2,
2012,[{}],June,M06,8.2,
2012,[{}],May,M05,8.2,
2012,[{}],April,M04,8.2,
2012,[{}],March,M03,8.2,
2012,[{}],February,M02,8.3,
2012,[{}],January,M01,8.3,
